"","x"
"1","0.0481082369796245"
"2","0.0413757656724919"
"3","0.0280817837680011"
"4","0.137937839549063"
"5","0.0845840894667526"
"6","0.0860187283049988"
"7","-0.200046190750654"
"8","-0.169372810090783"
"9","-0.143241716828938"
"10","0.0520345409558556"
"11","0.0616752666947228"
"12","0.0850257977009309"
"13","0.0420343493771122"
"14","0.0230141742887103"
"15","0.0646740089460846"
"16","-0.0227045302768066"
"17","-0.136664431182746"
"18","-0.219852570660786"
"19","-0.0268132345850731"
"20","-0.0636257526088051"
"21","-0.126453595960634"
"22","-0.16977775479816"
"23","-0.0831386272785058"
"24","-0.178112017275297"
"25","0.228668578712736"
"26","0.194208603998643"
"27","0.228162920597695"
"28","0.202775813884984"
"29","0.421485044340655"
"30","0.2736287359144"
"31","0.191776722675349"
"32","-0.31478844365038"
"33","-0.0435430271259258"
"34","-0.147033661118418"
"35","-0.228830156053694"
"36","-0.221272481583205"
