"","x"
"1","-0.0738022004272643"
"2","-0.0740651373422372"
"3","-0.113828650576509"
"4","-0.213813565509913"
"5","-0.20192064271518"
"6","-0.179470564550799"
"7","0.289451473063301"
"8","0.270010367516667"
"9","0.281451219232218"
"10","0.0800575847720164"
"11","0.0593987779977994"
"12","0.0373581285879867"
"13","0.0443483477969448"
"14","0.0545775687300181"
"15","0.0553857882622135"
"16","-0.244257922023021"
"17","-0.0835003160530777"
"18","-0.0703491420734103"
"19","0.234911196935545"
"20","0.245844876625174"
"21","0.332991500312702"
"22","-0.304732288989328"
"23","-0.250663039265364"
"24","-0.107042713077601"
"25","-0.0496082157495224"
"26","-0.0163283603994437"
"27","-0.032737579155388"
"28","0.124501783866537"
"29","-0.00589955684229891"
"30","0.0860261157051156"
"31","-0.101145789809377"
"32","-0.252655941258832"
"33","-0.0990402956105243"
"34","0.0876310431409384"
"35","0.109761359986547"
"36","0.0811547888973672"
