"","MEgreen","MEdarkturquoise","MEorange","MEbrown","MEsaddlebrown","MEdarkgrey","MEmagenta","Mean"
"Larva1_Atenuis",0.0852342966715529,0.111976638250578,0.0563251018516152,0.081839010037147,0.109827268166193,0.0613427635783755,0.127157172954979,0.0905288930729201
"Larva2_Atenuis",0.077857933603887,0.108864452494271,0.0467478093824429,0.092026498954539,0.125158958406286,0.0873470988997429,0.133571596251667,0.0959391925704051
"Larva3_Atenuis",0.0797923898821599,0.142171229790794,0.105296184813691,0.0998456274288494,0.142756918880205,0.142193219579789,0.115418414075312,0.118210569207257
"Meta1_Atenuis",0.121851389007857,0.0661639879462934,0.129240943485532,0.126985470810791,0.098073113957335,0.152536472447663,0.0515914297100674,0.106634686766505
"Meta2_Atenuis",0.114200326364238,0.0757546926968649,0.134896624385898,0.154701287069082,0.127479318471768,0.173254441754023,0.0736462772498043,0.121990423998811
"Meta3_Atenuis",0.125147164688627,0.10439847849756,0.150185163000946,0.149230188750056,0.125096879890692,0.0530453985191251,0.0326186873643451,0.105674565815907
"Spat1_Atenuis",-0.210195669852191,-0.18225907117153,-0.207052281377987,-0.211269333908534,-0.207840675390349,-0.21684565896111,-0.175786661799214,-0.201607050351559
"Spat2_Atenuis",-0.209938778519629,-0.188404873874187,-0.189318882181649,-0.241252884720408,-0.259755335008818,-0.200569205625086,-0.191332701672427,-0.211510380228886
"Spat3_Atenuis",-0.21630592941229,-0.203425429395523,-0.236220771512265,-0.232743913536213,-0.22924107623446,-0.243432405937756,-0.182970719090373,-0.220620035016983
"Larva1_Mcap",0.0992358282205531,0.12749353550408,0.130027317072576,0.130873346833706,0.148872236565938,0.0609193704351007,0.138196242422955,0.119373982436415
"Larva2_Mcap",0.0873035370833011,0.09480816360768,0.0918472419884201,0.112315660936077,0.125853106920299,0.0191960283854079,0.112167226281086,0.0919272807431816
"Larva3_Mcap",0.085012453016931,0.0878973444284494,0.074117769481228,0.100489684802771,0.116116949916634,-0.0146588658100484,0.10653593636174,0.0793587531711007
"Meta1_Mcap",0.0681385322898284,0.082308552820023,0.0683361092734644,0.082729659234661,0.0751125535233886,-0.0872131810309552,0.0546418000503914,0.0491505751658288
"Meta2_Mcap",0.0893941499826509,0.0953015698749619,0.119372191834507,0.103264339481066,0.084169071314711,-0.0378132066750971,0.0700979414307814,0.0748265796062259
"Meta3_Mcap",0.0710716507993031,0.0933749029516397,0.0861407069545079,0.0935990336274069,0.0764962764818491,-0.0694195257300709,0.0613275850140216,0.0589415185855225
"Spat1_Mcap",-0.194000742674558,-0.261028394352258,-0.2477246793179,-0.291757836139069,-0.259361128496272,-0.279098233931608,-0.229720628069483,-0.25181309185445
"Spat2_Mcap",-0.184294998968667,-0.195802161451311,-0.165763438806043,-0.218112298255999,-0.226854032325064,0.0594671540391906,-0.210995618364576,-0.16319362773321
"Spat3_Mcap",-0.186351713092864,-0.115582801738099,-0.186450053717529,-0.129430983221729,-0.12547915286183,0.333039732657783,-0.144453676144362,-0.0792440925883757
"Larva1_Pacu",0.280917448484668,0.212370928380892,0.267665262103621,-0.0178779995091235,-0.204755024771555,0.104669924622111,0.231148812941392,0.124877050321715
"Larva2_Pacu",0.322353451000894,0.29232039338358,0.316032959973766,0.0402301628720486,-0.174159901163676,0.213131378146728,0.275603883652445,0.183644618266541
"Larva3_Pacu",0.242164979522269,0.283635054056302,0.322378932902427,0.0430606833758064,-0.155098287192706,0.157252826140986,0.240156092768603,0.161935754510527
"Meta1_Pacu",-0.223494821264018,-0.207994140931338,0.00227787194819447,-0.283543092531649,-0.0596003405137701,-0.270829624369848,-0.348485309804315,-0.198809922495249
