Orthogroup,GeneID,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
OG0009898,Montipora_capitata_HIv3___RNAseq.g45478.t1,5.453149669393263,5.22677156355316,5.266205481952809,5.260954829393109,5.070080331435821,5.10887543639121,6.049159915275879,5.762263279388916,5.58783066752485
OG0009899,Montipora_capitata_HIv3___RNAseq.g45002.t1,7.368031457546521,7.245238396760469,7.20126075228843,7.330081450290442,7.328213439704765,7.305512009665358,5.923178346969228,5.851048037263031,6.23118359924055
OG0009900,Montipora_capitata_HIv3___RNAseq.g44002.t1a,8.614523474374359,8.635337916302529,8.512100692533151,8.606744722075678,8.499687224296638,8.584806781137011,8.16482588749974,7.900414924483189,8.080115910494554
OG0009901,Montipora_capitata_HIv3___RNAseq.g7018.t1,8.112366297563963,8.01206951756023,7.925713157237126,8.004439656542056,8.050205386926216,7.973236466738584,8.2741863050165545,8.77024544520932,8.509025503752126
OG0009902,Montipora_capitata_HIv3___TS.g43136.t1b,6.2976955316518755,6.181418315109593,6.356146821395068,6.398269258374904,6.435395653566635,6.444116585783184,5.623305693635805,5.454676842221153,5.984811597174934
OG0009903,Montipora_capitata_HIv3___TS.g27926.t2,5.488335663161676,5.452024148117458,5.480674338901123,5.586102394660618,5.588730421810193,5.7023670839990945,4.80611382388384,5.150754938099095,4.946984258434992
OG0009904,Montipora_capitata_HIv3___RNAseq.g46023.t1,3.808076108965467,3.8752435700553503,3.8057012011748865,3.652520039472532,3.773394626289925,3.7108073524517433,2.7568669914713206,3.742311612299867,3.953437283365852
OG0009905,Montipora_capitata_HIv3___RNAseq.g2798.t2b,4.062043488939941,4.336626075906051,4.153025700419161,4.388477870458385,4.1394530213120655,4.083414469331393,3.3755147410446087,4.471072619335985,4.202931758789421
OG0009906,Montipora_capitata_HIv3___RNAseq.g4741.t1,0.6591403078152731,0.500746569896179,0.303490564021704,0.37853226894537234,1.0296184445052163,0.7216257881289243,1.0329391775999446,1.0519297748019167,0.8458066972498821
OG0009907,Montipora_capitata_HIv3___RNAseq.g41158.t1,4.510876317938912,4.4072273583041355,4.297567575371016,4.815190574228332,4.868091223454729,4.814524586856772,4.4771404990887955,5.2228379180983335,4.963000885150005
OG0009908,Montipora_capitata_HIv3___RNAseq.g2529.t1,4.825865762637763,4.532735217491635,4.719635735117784,4.558249682331725,4.745925107575809,4.556319553617642,5.159542696729922,5.183530093190863,5.485798006309381
OG0009909,Montipora_capitata_HIv3___RNAseq.g6864.t1,4.34180811470952,4.271776289523537,4.3229503469726405,4.846754452776244,4.305562016230797,4.438740841450739,4.219451096567351,3.8602227914043614,4.583991972784908
OG0009910,Montipora_capitata_HIv3___RNAseq.g6367.t1,5.01398626776126,5.076993684194456,5.096315992517968,4.622692574711072,4.709854942321277,4.963744083821949,5.540263055331098,5.267786374316153,5.4369001790329285
OG0009911,Montipora_capitata_HIv3___RNAseq.g7027.t1,3.4214951848518913,3.235083312876786,2.9722994975467225,3.1947152254483075,3.277049816807286,3.3369200520350506,2.736496501558745,3.23027161689098,3.798773733059466
OG0009912,Montipora_capitata_HIv3___RNAseq.g10721.t1,4.4414975746366805,4.008658504463982,4.296997596011607,4.016529991587352,4.0382219158519455,4.008098546739191,3.9299507021115496,3.9106550790931696,4.505238265315979
OG0009913,Montipora_capitata_HIv3___TS.g40087.t2,2.3402744872437644,2.222400000764087,2.647960820421121,2.2428240785009206,2.1386389876615386,2.1960931135850044,1.6580075023540448,2.2228478664800364,2.376713481173114
OG0009914,Montipora_capitata_HIv3___TS.g43136.t1a,5.799907494802591,5.8098187460074975,5.9154287125423455,6.1247463401129245,6.142409576972366,6.019837451342323,5.8426707174271915,5.79574596228113,5.767720659308228
OG0009915,Montipora_capitata_HIv3___RNAseq.g47164.t1,5.668233567329581,5.637541631681386,5.470487752282596,5.595166108003021,5.650556447751137,5.564476532475976,4.923671055519724,5.281357968404632,5.190002453707714
OG0009916,Montipora_capitata_HIv3___RNAseq.g24337.t1,5.389712016759638,5.36912182902012,5.31030104020964,5.224868233118694,5.279492326458304,5.372064547567414,5.445648342947619,5.8554553502646645,5.648790546301452
OG0009917,Montipora_capitata_HIv3___RNAseq.g15230.t1,4.148984541756663,4.019128773141591,3.9014368110920654,4.0268749151094525,4.118277886238688,4.052969763274389,5.072568514506295,5.522134129893411,5.38153438528379
OG0009918,Montipora_capitata_HIv3___RNAseq.g12699.t1b,2.777447982186453,2.288526949977648,2.465539689743495,2.320035454098439,2.491864899570487,2.4985954727176205,1.840082765735967,2.370419892367857,2.660786525093027
OG0009919,Montipora_capitata_HIv3___TS.g18758.t2b,2.9792755234900135,2.790942309198619,2.715894116003186,2.967122305845466,2.946170014802684,2.85602103885757,2.242360505312161,2.4641839588273275,3.096022789510696
OG0009920,Montipora_capitata_HIv3___RNAseq.g8917.t1,4.389701268374732,3.87536647896637,3.7547877530317417,4.0670675095962565,4.097566700555286,4.114962746074774,3.6022578597936024,3.674699085411841,3.96044565936575
OG0009921,Montipora_capitata_HIv3___RNAseq.g20245.t1,2.794692029602079,2.6520481317387943,2.627961984767556,2.646739328498303,2.4937630217051883,2.831951694549076,1.1454975671261844,1.685858768630876,2.0499515016913876
OG0009922,Montipora_capitata_HIv3___RNAseq.g26437.t1,6.221287699437494,6.1529814364233095,6.195669857280843,6.3512213153514185,6.38288504237483,6.332140721458183,3.448880053089005,3.839724010319243,4.231677653524443
OG0009923,Montipora_capitata_HIv3___RNAseq.g44539.t1,5.45194423992892,5.300514801742107,5.299618092869222,5.330475081839299,5.265787166513551,5.212151841121661,5.891346696112848,5.630928901453465,5.73465397162674
OG0009924,Montipora_capitata_HIv3___TS.g22878.t1,4.772611349759207,4.687784931241081,4.683424881901524,4.8704955889326085,5.014061123386753,4.937065551282166,3.0477989037398028,3.3517794889359385,3.3146438397338382
OG0009925,Montipora_capitata_HIv3___TS.g40074.t1,0.9721285625961388,1.3496025572517305,1.4973903016553698,1.6642885204915143,1.5587265696042802,1.4151763314472496,2.3085651059982473,2.199489990604695,2.8324206798725347
OG0009926,Montipora_capitata_HIv3___RNAseq.g15015.t1,1.2732473313438073,1.1413663154262652,1.070320036914267,1.3875800136673857,1.5474054653595104,1.4133200182562369,3.208305480071717,3.057642241922766,3.717256413989669
