"","x"
"1","-0.145007352757586"
"2","-0.131028764224733"
"3","-0.117558936758903"
"4","0.215479078695822"
"5","0.233058733005431"
"6","0.228080919516863"
"7","-0.10270930718611"
"8","-0.10783192368644"
"9","-0.057169172029209"
"10","0.0711919909383625"
"11","0.0541251614100017"
"12","0.0539444082614986"
"13","0.0842861663450739"
"14","0.0956428619325376"
"15","0.0871300987084685"
"16","-0.194910589346379"
"17","-0.177499225018093"
"18","-0.119380498994194"
"19","-0.204516810463954"
"20","-0.190418186421279"
"21","-0.184515108867193"
"22","0.207985414194298"
"23","0.180130621250735"
"24","0.0870449406834997"
"25","0.0452454681155885"
"26","0.0426625748819706"
"27","0.0252556882529439"
"28","-0.0961121084458911"
"29","-0.0672837384208712"
"30","-0.109590035595972"
"31","0.203837790152428"
"32","0.19292619633618"
"33","0.115738598348319"
"34","-0.0746949966940856"
"35","-0.0877281390367645"
"36","-0.0558118170823651"
