Orthogroup,GeneID,DRR318288,DRR318289,DRR318291,DRR318293,DRR318294,DRR318295,DRR318297,DRR318298,DRR318299
OG0005442,aten_0.1.m1.25222,4.644216611792363,4.0782340897010165,4.628875291659353,3.8106741901146286,3.703867396582972,3.6150262381554215,4.325177945614539,4.731043883076378,4.52021872691462
OG0005443,aten_0.1.m1.1627,4.480043600239346,4.770370401736804,4.947013480619904,4.31312678432725,4.020859505667592,4.324147535113309,4.875932508525378,4.91663685622745,4.846841855097629
OG0005444,aten_0.1.m1.36833,6.014110133519456,6.0300036133998,6.534358088113376,5.9872766116601275,6.2585380676927445,5.73594485795914,5.563690907180119,4.875497143038114,4.597398844358987
OG0005445,aten_0.1.m1.8238,7.972569968910018,8.068143715147112,7.377195695398486,8.112150861377335,8.280941173234478,8.605452316134077,8.984351357186139,9.158779765420888,9.223616753004327
OG0005446,aten_0.1.m1.28051,6.266617542267075,6.421387839192608,6.468564032575299,6.0734239711210085,6.047232735629552,6.1515120025410575,6.295087141343066,6.280603472813736,6.163567369326431
OG0005447,aten_0.1.m1.32970,6.321293454119612,6.288016442829432,6.1708641458815245,6.126051680809255,6.127054987213397,6.267631135013499,7.889707017132523,7.811208640904479,7.775954525277407
OG0005448,aten_0.1.m1.6803,2.926258129267325,3.1005523349567152,2.944868599798577,1.570381123479434,1.205267185425252,0.9949389918999306,2.977145843730862,2.954703776317346,2.8752473362673494
OG0005449,aten_0.1.m1.14389,7.761721728956957,8.128789927228413,7.7735862630522705,7.4884370696590254,7.730054591356695,7.550845827385404,8.193140063911773,8.358347046052051,8.232010549579245
OG0005450,aten_0.1.m1.10847,4.839986791797558,5.124102261866045,5.455767906937078,5.149885996035006,5.253831949520299,5.599402439117879,4.752146659587314,4.4833625553606256,4.7663649900630265
OG0005451,aten_0.1.m1.5741,4.651102610411057,5.454155951647725,4.268654362456376,3.866060622759063,4.257514876708118,5.082272814579676,4.86098892756208,4.850764437386523,6.100702691082525
OG0005452,aten_0.1.m1.13312,6.464929754527031,6.613915558833948,6.297419847008973,6.672879385338325,6.777314840879556,6.9102963960733765,6.634391263716002,6.6294531273959345,6.536717177605003
OG0005453,aten_0.1.m1.21696,5.811580067017426,5.91131824656364,4.743893410924239,4.6249415157164835,5.339126892652638,5.161990940162401,3.950778768625436,4.360834839557147,3.8307719661873234
OG0005454,aten_0.1.m1.14049,1.8004297556646394,2.317206817815016,1.201751785583112,2.6266854377683364,3.055657808831721,2.9825370285699364,1.730484271644109,1.3185901639630253,1.670628285480779
OG0005455,aten_0.1.m1.14968,4.7282827248518835,4.919665659020308,4.914521973246185,3.843190557642493,4.1656742058568215,4.141949492249386,4.625920987041205,4.782148751896612,4.468055531079335
OG0005456,aten_0.1.m1.9047,7.832068361715807,7.788614049329863,8.108889126697454,8.367508710399147,8.498051081664919,8.467257076039779,7.252384702369315,6.954349640697414,7.094066541397555
OG0005457,aten_0.1.m1.8266,7.4608012987898595,7.478304487909179,7.580604088406966,7.40826245689545,7.409060242461467,7.3544602175263805,7.347615887076831,7.287560336955168,7.166561531205637
OG0005458,aten_0.1.m1.3109,4.372157452099079,5.138765336354624,5.39003501948751,4.495280237147615,4.136407077533264,4.50877211959094,4.462699438173311,4.614276290512907,3.450544638803267
OG0005459,aten_0.1.m1.6381,5.143088376902226,5.251308797836634,5.36194530531197,3.8795603636019655,4.140297235940821,3.644034193543351,4.599183459973449,4.636325864329281,4.874726363960419
OG0005460,aten_0.1.m1.17226,4.770405268032179,5.1989313973198135,5.3839364453582315,4.626074171991203,5.0162710393323335,4.143045229660426,3.969017275458471,3.3850138042253777,4.311732030786624
OG0005461,aten_0.1.m1.7829,1.7094850511390824,1.3218874169836352,1.8441809276381655,1.2148342762014654,0.9572115782259688,0.9945783867580338,1.3493136785764754,1.5353099556706251,1.3861838664805974
OG0005462,aten_0.1.m1.13553,3.5897727877340415,4.254902447562312,3.833862540445201,3.284610227110046,2.0853992238941776,2.9404243558799927,3.689302533832404,4.047793461183192,3.6922906048693207
OG0005463,aten_0.1.m1.15699,5.6722105719046745,5.701751724047698,5.630969451491796,5.453054842800522,5.40772144718905,5.473274562843166,5.865121352635582,5.823304263154184,5.793007590079287
OG0005464,aten_0.1.m1.12331,5.0608149342063475,4.437612307458008,4.418817249765366,2.6905884070083834,2.951323173174194,3.284766893158618,4.444146163951364,4.131987132080794,3.441329761982049
OG0005465,aten_0.1.m1.4310,7.82702584739698,8.127147668025577,7.807717265480936,7.731300401590122,7.928173066119009,7.865510653363101,7.773575390990252,8.28379927297011,8.017383803194175
OG0005466,aten_0.1.m1.5200,4.202415611490128,4.568124371441383,4.643163163660579,4.10409278568807,4.2134071127652595,4.222637752071655,3.6870585657747887,3.477988621697685,3.6620772938059143
OG0005467,aten_0.1.m1.896,4.2837349674739675,4.54199801618648,4.7585357379333,4.726126469898166,4.884015711286738,4.436541734315179,4.664672745999013,4.162408618508159,5.2265107334531775
OG0005468,aten_0.1.m1.9951,5.7494003587403375,5.8319503062272755,5.7539599047621905,5.29166857380323,5.277704632011526,5.447536677895538,8.448900808822394,8.274829703490207,8.124721061359917
OG0005469,aten_0.1.m1.11985,0,0,0.9485507982765422,0,0,0.1686940080114087,0.11491219244952212,0,0
OG0005470,aten_0.1.m1.17699,6.4269899024684225,6.602566501234359,6.456301888463191,5.823440892478752,6.244439500697315,5.947226692392437,5.889623474374865,5.714616131342641,6.161252392479433
