Orthogroup,GeneID,SRR14333319,SRR14333320,SRR14333321,SRR14333322,SRR14333323,SRR14333324,SRR14333325,SRR14333326,SRR14333327
OG0011195,SpisGene816,2.9283202280600804,3.2189699751588488,3.159056563095413,2.0662484090220663,3.476359906135858,2.896189596520186,1.8557833009492983,0,2.1106142265704264
OG0011196,SpisGene12178,3.926066228789855,3.9468233479391497,4.010168983478769,3.913876055892932,4.331087152212696,4.654162310958633,3.6313222362287543,4.32678448570205,4.046596935245031
OG0011197,SpisGene3888,4.377543179942098,4.255315781176603,4.672882985842971,6.064234680982328,5.5046168958965795,5.485415191010108,4.5128928249365545,5.484205969309291,5.057523297328608
OG0011198,SpisGene18989,5.390729943476664,5.063545732720642,6.23833605272305,8.222594092835946,7.748519356536358,6.368826174290017,5.138598455118127,6.201026910009698,5.260632063687687
OG0011199,SpisGene5618,3.7464426359400513,3.2781695725208153,3.939967715634455,1.6864389558697788,0.3427766671966801,1.904752159497637,0.6335486459945665,1.85330955750886,2.3267540548220813
OG0011200,SpisGene9505,6.275604544645442,6.414644058399032,6.363041998232196,5.484331566420643,5.278025717743026,6.104350242014167,5.819968369636156,6.474416384748965,5.802501275200761
OG0011201,SpisGene16679,4.667700539672863,5.024220873114399,5.00815998916103,4.732032066807048,5.5894480751187015,5.135902136333252,3.036280909030142,3.4413295573512857,3.7122345070568112
OG0011202,SpisGene1618,3.5739783016988267,4.198539544254881,4.435354863568985,4.214306998754687,6.424078949298788,6.579647282532817,2.986909593135679,4.205880402314232,3.933901248628622
OG0011203,SpisGene11574,4.5582039326471095,4.683734908090023,4.942905033818841,3.22940824203662,4.862746527344776,4.626795289871867,1.8670922988087764,0.4642396088158263,1.8975527933117016
OG0011204,SpisGene19571,3.203341378231959,2.496792300272637,3.039762735132401,5.0981706908101625,5.185006210598369,2.558399533934867,0,3.431914175423685,1.6137992916360269
OG0011205,SpisGene8967,3.9336787785967102,3.8591237027594434,4.43629728229245,1.5039076114733412,2.5194030700210073,3.1513994163395966,1.2090783834035592,1.5039964680043676,1.1190911209270826
OG0011206,SpisGene11267,7.763316835323349,6.8701500159868445,6.77650151921135,4.848242147881286,4.6894889093608345,5.508962112357345,6.719479079303283,6.266258528031019,6.647507580659496
OG0011207,SpisGene2186,3.1367114658361124,3.3727671814652163,3.5614808477213886,0.4240221628101503,1.2258665991829754,1.4267138641906505,1.1403350300563913,0.6447032304807205,0.7917055105114288
