"","x"
"1","0.0905288930729201"
"2","0.0959391925704051"
"3","0.118210569207257"
"4","0.106634686766505"
"5","0.121990423998811"
"6","0.105674565815907"
"7","-0.201607050351559"
"8","-0.211510380228886"
"9","-0.220620035016983"
"10","0.119373982436415"
"11","0.0919272807431816"
"12","0.0793587531711007"
"13","0.0491505751658288"
"14","0.0748265796062259"
"15","0.0589415185855225"
"16","-0.25181309185445"
"17","-0.16319362773321"
"18","-0.0792440925883757"
"19","0.124877050321715"
"20","0.183644618266541"
"21","0.161935754510527"
"22","-0.198809922495249"
"23","-0.228309746025403"
"24","-0.130288681175516"
"25","0.0459894990368675"
"26","0.0531700607403244"
"27","0.0591144042449183"
"28","-0.0391495688666214"
"29","-0.168981314105696"
"30","-0.0211476002933975"
"31","-0.158090769234045"
"32","-0.00104555143017231"
"33","0.0744391894446655"
"34","0.0909875604878849"
"35","0.089967370649193"
"36","0.0771289025568476"
