"","MEgrey60","MElightcyan","MEcyan","MEgreenyellow","Mean"
"Larva1_Atenuis",-0.0485622189795496,0.0613042492662096,-0.187182917003846,-0.0395336798847929,-0.0534936416504947
"Larva2_Atenuis",-0.0502267613256134,0.0371373725406823,-0.200691275555551,-0.0589138751464809,-0.0681736348717407
"Larva3_Atenuis",0.0169215988454181,0.139793936019329,-0.247387696203947,-0.0915605728243884,-0.0455581835408969
"Meta1_Atenuis",-0.206675287382926,-0.0237056962037824,-0.0519344928525939,-0.047090153812433,-0.0823514075629338
"Meta2_Atenuis",-0.179817193414602,0.0250748370742088,-0.0677447263453726,-0.0513571511478982,-0.0684610584584159
"Meta3_Atenuis",-0.0977338323993661,0.0663844590666824,-0.0798457258485167,-0.0603445047390224,-0.0428849009800557
"Spat1_Atenuis",0.173039975991097,-0.13589211607318,0.260267557220555,0.0790204413667967,0.0941089646263169
"Spat2_Atenuis",0.254579352841265,-0.0378348562883325,0.24121903474987,0.071880629501377,0.132461040201045
"Spat3_Atenuis",0.0921876047895535,-0.193746165913961,0.3086877800598,0.123901054521636,0.082757568364257
"Larva1_Mcap",0.044831161950495,0.0613620826667308,0.0188900001135423,-0.0249325465050411,0.0250376745564318
"Larva2_Mcap",0.0532502763970978,0.0628287171661588,0.0302898534574258,0.00698611886082513,0.0383387414703769
"Larva3_Mcap",0.0378616816258001,0.0531800758997528,0.0404527130050791,0.0232620750133895,0.0386891363860054
"Meta1_Mcap",0.0808008689520934,0.0851380629823626,0.0453054034899347,0.0110488132648106,0.0555732871723003
"Meta2_Mcap",0.122097486819742,0.122886591928688,0.0269675888016969,-0.025401286377268,0.0616375952932147
"Meta3_Mcap",0.105770561977096,0.109575190409744,0.0375611706888243,0.0173987099556226,0.0675764082578219
"Spat1_Mcap",-0.0721264515223535,-0.102425459328526,-0.00313261961420743,0.112924081741121,-0.0161901121809915
"Spat2_Mcap",-0.134588131467016,-0.142776132987139,-0.0917361682871378,-0.058709460857446,-0.106952473399685
"Spat3_Mcap",-0.288670091211617,-0.294468950670367,-0.160628235639955,-0.145308711178246,-0.222268997175046
"Larva1_Pacu",0.156544866793667,0.235944280049366,-0.119092457614325,0.0173107453148533,0.0726768586358903
"Larva2_Pacu",0.0985161936918019,0.192255819649604,-0.110789542064681,-0.0382636196937216,0.0354297128957508
"Larva3_Pacu",0.138904397352349,0.224779577998968,-0.159135953395964,-0.106354695658212,0.024548331574285
"Meta1_Pacu",0.200105479140175,0.140550612238793,0.208103533128657,0.136914506294612,0.171418532700559
"Meta2_Pacu",0.194682095448667,0.155024188976265,0.290934662049854,0.302321903935649,0.235740712602609
"Meta3_Pacu",-0.0432323480488569,-0.0534044451907976,0.0543691801084897,-0.00165125134012219,-0.0109797161178218
"Spat1_Pacu",-0.183642282272988,-0.263562429053232,-0.0529948526754326,-0.0779185823358659,-0.14452953658438
"Spat2_Pacu",-0.300565296066566,-0.324353695099917,-0.0591394168006513,-0.143679029371481,-0.206934359334654
"Spat3_Pacu",-0.234660232063146,-0.260139732937095,-0.055660490437725,-0.0937917946781064,-0.161063062529018
"Larva1_Spis",-0.0161579047467457,-0.00530618943554509,0.0799492961963214,0.261501433630891,0.0799966589112305
"Larva2_Spis",0.355806093406522,0.265487432515607,0.276296544959033,0.505201952941788,0.350698005955738
"Larva3_Spis",0.198242135747805,0.18402067973424,0.0536482722120413,0.323593562506723,0.189876162550203
"Meta1_Spis",-0.166378196157952,-0.257326541855213,0.37715520050664,0.220051598134682,0.0433755151570392
"Meta2_Spis",0.114229315559554,0.154992501141368,0.0301297856755165,-0.250387608789888,0.0122409983966377
"Meta3_Spis",0.157931915883582,0.19838277987868,-0.029550753808078,-0.154347919104587,0.0431040057123994
"Spat1_Spis",-0.121465400205237,-0.101101278398342,-0.217146229502176,-0.190120199059763,-0.157458276791379
"Spat2_Spis",-0.212964309097735,-0.165061138660974,-0.249954583961477,-0.264174659791551,-0.223038672877934
"Spat3_Spis",-0.238837126851511,-0.214998619107036,-0.236479438811644,-0.289476324688464,-0.244947877364663
