"","x"
"1","-0.0534936416504947"
"2","-0.0681736348717407"
"3","-0.0455581835408969"
"4","-0.0823514075629338"
"5","-0.0684610584584159"
"6","-0.0428849009800557"
"7","0.0941089646263169"
"8","0.132461040201045"
"9","0.082757568364257"
"10","0.0250376745564318"
"11","0.0383387414703769"
"12","0.0386891363860054"
"13","0.0555732871723003"
"14","0.0616375952932147"
"15","0.0675764082578219"
"16","-0.0161901121809915"
"17","-0.106952473399685"
"18","-0.222268997175046"
"19","0.0726768586358903"
"20","0.0354297128957508"
"21","0.024548331574285"
"22","0.171418532700559"
"23","0.235740712602609"
"24","-0.0109797161178218"
"25","-0.14452953658438"
"26","-0.206934359334654"
"27","-0.161063062529018"
"28","0.0799966589112305"
"29","0.350698005955738"
"30","0.189876162550203"
"31","0.0433755151570392"
"32","0.0122409983966377"
"33","0.0431040057123994"
"34","-0.157458276791379"
"35","-0.223038672877934"
"36","-0.244947877364663"
