"","x"
"1","-0.285506615202243"
"2","-0.286790338566204"
"3","-0.287301673934918"
"4","-0.28714110701997"
"5","-0.287019443898359"
"6","-0.286218967182291"
"7","-0.28753821099056"
"8","-0.287270047469585"
"9","-0.287048369093594"
"10","0.0687941269073183"
"11","0.0779709934180611"
"12","0.0771717736527964"
"13","0.0701907051883055"
"14","0.0709071844373398"
"15","0.0749446500317067"
"16","0.134010880683504"
"17","0.123850400252685"
"18","0.101452924505338"
"19","0.130609602437121"
"20","0.116464275643977"
"21","0.109878960264618"
"22","0.0990399180835566"
"23","0.106239295880515"
"24","0.0873040022527201"
"25","0.117530466987029"
"26","0.108685971490291"
"27","0.117163710065125"
"28","0.0908969597729261"
"29","0.114499433075289"
"30","0.104256342650296"
"31","0.057934446487794"
"32","0.0570890525370614"
"33","0.109709676415403"
"34","0.0895998778788702"
"35","0.0808189571095343"
"36","0.0848201852485426"
