"","x"
"1","0.126144283778468"
"2","0.138917220818508"
"3","0.131878533364564"
"4","0.102622222197878"
"5","0.0128054858005381"
"6","0.0824365947621228"
"7","-0.193732026708469"
"8","-0.220368545460283"
"9","-0.20683200243014"
"10","0.0804051987848919"
"11","0.0911320185423862"
"12","0.113772181473552"
"13","0.101512376279653"
"14","0.0973113538857148"
"15","0.0707208487588739"
"16","-0.19262594472278"
"17","-0.216571502144655"
"18","-0.184933860177138"
"19","-0.11880036422463"
"20","-0.124667173752537"
"21","-0.11581794628232"
"22","0.333721951147661"
"23","0.304495541156287"
"24","0.267163107999177"
"25","-0.198051265028841"
"26","-0.149999547672027"
"27","-0.153789419873994"
"28","0.150873376395841"
"29","-0.0551500411296465"
"30","0.0887134632982533"
"31","-0.144582697624427"
"32","-0.333053426465698"
"33","-0.0862086788072646"
"34","0.135799835239806"
"35","0.131879733929101"
"36","0.132879114891572"
