"","x"
"1","0.247878091508619"
"2","0.228031629119861"
"3","0.260205280205035"
"4","0.276564578836276"
"5","0.320552574697488"
"6","0.32503299254631"
"7","0.163538002042854"
"8","0.162631049973428"
"9","0.165690800294145"
"10","0.017402809855709"
"11","0.0249153945867574"
"12","0.0232373348076281"
"13","0.0093426289781606"
"14","0.0276110601492349"
"15","0.0171357018739922"
"16","0.100362624544739"
"17","0.129097923231865"
"18","0.0844202220078642"
"19","-0.0683939100119289"
"20","-0.0503894099479016"
"21","-0.0881242579219301"
"22","-0.124637695591397"
"23","-0.118461931110477"
"24","-0.116428562050097"
"25","-0.110657060109625"
"26","-0.116225490281544"
"27","-0.0779949990856462"
"28","-0.187830370385061"
"29","-0.202060762141723"
"30","-0.195077648848191"
"31","-0.206323943353695"
"32","-0.198043674561802"
"33","-0.174700947567041"
"34","-0.171642074269078"
"35","-0.184544804382728"
"36","-0.192113157640098"
