"","MEskyblue","MEdarkorange","MEmediumpurple3","MEbrown4","MEivory","Mean"
"Larva1_Atenuis",-0.337624552536838,-0.246869376108496,-0.218044053816992,0.0505671951247396,0.0269340235496575,-0.145007352757586
"Larva2_Atenuis",-0.328266768741843,-0.250186211109475,-0.191650508314134,0.037256463121183,0.0777032039206036,-0.131028764224733
"Larva3_Atenuis",-0.354503744590604,-0.21748857137292,-0.160862312249746,0.0855314848844218,0.0595284595343316,-0.117558936758903
"Meta1_Atenuis",0.161724008576784,0.297893445302524,0.29494445999422,0.179857186117326,0.142976293488255,0.215479078695822
"Meta2_Atenuis",0.16063524965492,0.300948727732251,0.359278101452779,0.18689813806861,0.157533448118595,0.233058733005431
"Meta3_Atenuis",0.153721155062218,0.294698410059468,0.340549919824671,0.161812212140232,0.189622900497728,0.228080919516863
"Spat1_Atenuis",0.163861114223619,-0.0688736107585622,-0.115240745368351,-0.242562692742924,-0.250730601284329,-0.10270930718611
"Spat2_Atenuis",0.171458189814839,-0.0862123371408959,-0.16669445652547,-0.251694061490496,-0.206016953090176,-0.10783192368644
"Spat3_Atenuis",0.249891627978138,-0.0104809945245306,-0.0870431565695912,-0.238698020747806,-0.199515316282256,-0.057169172029209
"Larva1_Mcap",0.0575838107012414,0.0225380160340475,0.0856802258098789,0.089051043240636,0.101106858906009,0.0711919909383625
"Larva2_Mcap",0.0338140748390175,0.0239939069679314,0.0677120153506164,0.0717633709960301,0.0733424388964131,0.0541251614100017
"Larva3_Mcap",0.0170690567185735,0.0495810231863808,0.0472930884073233,0.0864501455840635,0.069328727411152,0.0539444082614986
"Meta1_Mcap",0.0876837295684707,0.0738572646661625,0.0838245500663044,0.0790675019100923,0.0969977855143398,0.0842861663450739
"Meta2_Mcap",0.0977062302830733,0.0964575882298535,0.117664279673686,0.071205781381006,0.0951804300950691,0.0956428619325376
"Meta3_Mcap",0.0812776963114206,0.0777314548478828,0.0929385462151335,0.0875313519614313,0.0961714442064744,0.0871300987084685
"Spat1_Mcap",-0.221257851030243,-0.130950949625001,-0.244482276468464,-0.128646374047207,-0.24921549556098,-0.194910589346379
"Spat2_Mcap",-0.144913321292537,-0.143538374178429,-0.182450893814038,-0.223656891240249,-0.19293664456521,-0.177499225018093
"Spat3_Mcap",-0.0595975403612544,-0.125161031613679,-0.110792438382297,-0.177745838950851,-0.123605645662889,-0.119380498994194
"Larva1_Pacu",-0.217918243411189,-0.155379593745894,-0.252192718460279,-0.242058009483391,-0.155035487219016,-0.204516810463954
"Larva2_Pacu",-0.191012498212728,-0.150435715417023,-0.214902239582121,-0.249868284326991,-0.14587219456753,-0.190418186421279
"Larva3_Pacu",-0.187610439055776,-0.159572963632479,-0.206267998061671,-0.263059188265044,-0.106064955320993,-0.184515108867193
"Meta1_Pacu",0.121014232694503,0.271406104422067,0.157945857196845,0.123864313653468,0.365696563004606,0.207985414194298
"Meta2_Pacu",0.07453820757264,0.275194936063294,0.0475768619759584,0.186822452718437,0.316520647923345,0.180130621250735
"Meta3_Pacu",0.026809039083998,0.0701635318076371,0.0842390104024011,0.0221709916227743,0.231842130500688,0.0870449406834997
"Spat1_Pacu",0.128312744977335,-0.0485082770535148,0.135337710377829,0.177211278641019,-0.166126116364726,0.0452454681155885
"Spat2_Pacu",0.13934399269766,-0.052289549740666,0.138200839899394,0.133991720423809,-0.145934128870345,0.0426625748819706
"Spat3_Pacu",0.0961434454136652,-0.0553810879008525,0.119393874844082,0.119794619416354,-0.153672410508529,0.0252556882529439
"Larva1_Spis",-0.128623196399529,-0.0304647517256711,-0.140544297093619,-0.0674476575713235,-0.113480639439313,-0.0961121084458911
"Larva2_Spis",-0.0336765036174769,0.153702129842433,-0.171134176302147,-0.0494120032470649,-0.2358981387801,-0.0672837384208712
"Larva3_Spis",-0.119217494509912,-0.0394443774824151,-0.145561965961836,-0.071097581943466,-0.172628758082233,-0.109590035595972
"Meta1_Spis",0.223813191922935,0.259558487414825,0.0549881031716124,0.379572156720362,0.101257011532405,0.203837790152428
"Meta2_Spis",0.249128893947118,0.19044278734404,0.161254462044763,0.110173999771312,0.253630838573665,0.19292619633618
"Meta3_Spis",0.0759876097908884,0.0689379019189872,0.141352697244927,0.201102366643896,0.091312416142896,0.115738598348319
"Spat1_Spis",-0.093707312659089,-0.166404840098429,0.00762377790532874,-0.130303135690856,0.00931652707261664,-0.0746949966940856
"Spat2_Spis",-0.0938665525850712,-0.205180796256772,0.0280841762198963,-0.179275602519822,0.0115980799579465,-0.0877281390367645
"Spat3_Spis",-0.059721282828965,-0.184282306354078,0.0419816788931063,-0.126170431873715,0.0491332567518267,-0.0558118170823651
