"","x"
"1","-0.0111743534343994"
"2","-0.0252447865380254"
"3","-0.0207718167700626"
"4","0.0232108637165726"
"5","0.0246649800627103"
"6","0.011147279317901"
"7","-0.0224612272742359"
"8","-0.0136538260066892"
"9","-0.0108992524836028"
"10","-0.168433605789737"
"11","-0.155422647156577"
"12","-0.146735577375943"
"13","-0.157809437822125"
"14","-0.156002902691743"
"15","-0.150809941422417"
"16","0.41019939790151"
"17","0.37515631017125"
"18","0.212185802908236"
"19","0.0176316908384202"
"20","0.0191253127465897"
"21","0.00661875132169779"
"22","0.0152904591973489"
"23","0.0122047845388917"
"24","0.0128981055774483"
"25","-0.0304555045075097"
"26","-0.0384838738179072"
"27","-0.0148913407437326"
"28","0.0206778368083133"
"29","0.00548738216114434"
"30","0.0113224702906459"
"31","0.00956144435392485"
"32","-0.0146644023611064"
"33","-0.0273197416652097"
"34","-0.00327309676387868"
"35","-0.00773074157954381"
"36","-0.0111447957081592"
