"","x"
"1","-0.0377454052775752"
"2","-0.02655923507135"
"3","-0.0375325739182373"
"4","-0.181844813316361"
"5","-0.145306322223535"
"6","-0.16686490144994"
"7","0.205899348304845"
"8","0.188361461391233"
"9","0.224662773533713"
"10","0.10305430906658"
"11","0.0774051312360666"
"12","0.0625847493979906"
"13","0.048176367305547"
"14","0.0523278174144087"
"15","0.0514441638913361"
"16","-0.247156929339445"
"17","-0.161296695625262"
"18","-0.000397521716030627"
"19","-0.12096486303284"
"20","-0.104001950414717"
"21","-0.0619055047150235"
"22","0.00537300600795571"
"23","0.01301947619542"
"24","0.0357432065115644"
"25","0.106457369816505"
"26","0.116395819087393"
"27","0.0652834429352379"
"28","-0.114774155276508"
"29","-0.309418561910577"
"30","-0.140598327889347"
"31","0.0750015583751482"
"32","0.133534598757089"
"33","0.115860528643868"
"34","0.0429369031609449"
"35","0.0589365516859891"
"36","0.0739091784579131"
