Orthogroup	Montipora_gene	Pocillopora_gene	Spis_gene
OG0001542	Montipora_capitata_HIv3___RNAseq.g771.t2	Pocillopora_acuta_HIv2___RNAseq.24828_t	Spis4767.t1
OG0001549	Montipora_capitata_HIv3___RNAseq.g40940.t1	Pocillopora_acuta_HIv2___TS.g23223.t2	Spis4827
OG0001553			
OG0001555	Montipora_capitata_HIv3___TS.g21453.t2	Pocillopora_acuta_HIv2___RNAseq.g31343.t1	Spis7752
OG0001557	Montipora_capitata_HIv3___TS.g48020.t2	Pocillopora_acuta_HIv2___RNAseq.g13136.t3	Spis4261
OG0001567	Montipora_capitata_HIv3___RNAseq.g7322.t1	Pocillopora_acuta_HIv2___RNAseq.g15136.t1	Spis15362
OG0001570	Montipora_capitata_HIv3___TS.g7127.t1	Pocillopora_acuta_HIv2___RNAseq.6832_t	Spis8472.t1
OG0001574	Montipora_capitata_HIv3___TS.g6865.t1b	Pocillopora_acuta_HIv2___TS.g24851.t1b	Spis13538
OG0001577			
OG0001583			
OG0001585	Montipora_capitata_HIv3___RNAseq.g38477.t1	Pocillopora_acuta_HIv2___RNAseq.g20398.t1	Spis15678
OG0001590	Montipora_capitata_HIv3___RNAseq.g39241.t1	Pocillopora_acuta_HIv2___RNAseq.g20468.t1	Spis21194
OG0001591	Montipora_capitata_HIv3___RNAseq.g43124.t1	Pocillopora_acuta_HIv2___RNAseq.11263_t	Spis582
OG0001602			
OG0001609	Montipora_capitata_HIv3___RNAseq.g39781.t1	Pocillopora_acuta_HIv2___RNAseq.g6132.t1	Spis12551
OG0001612	Montipora_capitata_HIv3___RNAseq.g48222.t1	Pocillopora_acuta_HIv2___RNAseq.g4757.t1	Spis2038
OG0001617	Montipora_capitata_HIv3___RNAseq.g16225.t3	Pocillopora_acuta_HIv2___RNAseq.g4511.t1	Spis18276
OG0001629	Montipora_capitata_HIv3___TS.g6988.t1	Pocillopora_acuta_HIv2___TS.g3024.t4	Spis8684
OG0001631	Montipora_capitata_HIv3___TS.g25680.t1	Pocillopora_acuta_HIv2___TS.g19009.t3	Spis4997.t1
OG0001634	Montipora_capitata_HIv3___RNAseq.g4594.t1	Pocillopora_acuta_HIv2___TS.g26487.t2	Spis2511
OG0001640	Montipora_capitata_HIv3___RNAseq.g1142.t1	Pocillopora_acuta_HIv2___RNAseq.g221.t1	
OG0001643	Montipora_capitata_HIv3___RNAseq.g43127.t1	Pocillopora_acuta_HIv2___TS.g30113.t2	Spis589
OG0001647	Montipora_capitata_HIv3___RNAseq.g33749.t1	Pocillopora_acuta_HIv2___RNAseq.g11694.t1	Spis18879
OG0001651	Montipora_capitata_HIv3___RNAseq.g46910.t1	Pocillopora_acuta_HIv2___TS.g6316.t1	Spis10044
OG0001656	Montipora_capitata_HIv3___RNAseq.g30168.t1	Pocillopora_acuta_HIv2___RNAseq.g30802.t1	Spis7483
OG0001657	Montipora_capitata_HIv3___TS.g42335.t2	Pocillopora_acuta_HIv2___RNAseq.g17157.t1	Spis2236
OG0001658			
OG0001674	Montipora_capitata_HIv3___TS.g38464.t2c	Pocillopora_acuta_HIv2___RNAseq.g77.t2	
OG0001677			
OG0001683	Montipora_capitata_HIv3___RNAseq.g24328.t1	Pocillopora_acuta_HIv2___RNAseq.g3807.t1	Spis13203
OG0001695	Montipora_capitata_HIv3___RNAseq.g31411.t2	Pocillopora_acuta_HIv2___TS.g5347.t1	Spis5304.t1
OG0001701	Montipora_capitata_HIv3___RNAseq.g38871.t1	Pocillopora_acuta_HIv2___RNAseq.g27084.t1a	Spis697
OG0001708	Montipora_capitata_HIv3___RNAseq.g20476.t1	Pocillopora_acuta_HIv2___RNAseq.g4083.t2c	Spis15197
OG0001712	Montipora_capitata_HIv3___RNAseq.g39613.t1b	Pocillopora_acuta_HIv2___TS.g23932.t1	Spis21134
OG0001715	Montipora_capitata_HIv3___RNAseq.g503.t1	Pocillopora_acuta_HIv2___RNAseq.g26208.t1	
OG0001716	Montipora_capitata_HIv3___TS.g8129.t3	Pocillopora_acuta_HIv2___TS.g13852.t1	Spis3952.t1
OG0001717			
OG0001718	Montipora_capitata_HIv3___TS.g18055.t1	Pocillopora_acuta_HIv2___TS.g20774.t2	Spis1368
OG0001720	Montipora_capitata_HIv3___RNAseq.g49332.t2	Pocillopora_acuta_HIv2___RNAseq.g25888.t1	Spis19456.t1
OG0001724			
OG0001725			
OG0001726			
OG0001741	Montipora_capitata_HIv3___RNAseq.g30054.t1	Pocillopora_acuta_HIv2___RNAseq.g19232.t2	Spis16582
OG0001742			
