Unique_ID,Protein.Accession,Larva_4,Larva_5,Larva_6,Larva_8,Larva_9,Spat_2,Spat_3,Spat_4,Spat_5,Spat_6
Spis_Protein57,A0A2B4R523,3552973.067,249076.4693,656939.4968,2476799.36,38985.00787,367950.8397,24896.35641,4456596.957,638606.0025,83568.25062
Spis_Protein58,A0A2B4R538,805634.5278,6802806.361,8432908.54,90848.60404,7696832.983,7084352.684,726345.5974,864066.8698,5692767.007,7530073.724
Spis_Protein59,A0A2B4R553,56423.36395,647968.8259,582608.536,27968.03691,257586.5683,279427.5357,8202923.446,2599026.287,3247737.262,497065.0855
Spis_Protein60,A0A2B4R554,62768.83097,45487.59466,320927.7887,93684.53701,468704.7374,0.544955278,47449.85295,342074.0834,2038035.659,623438.3884
Spis_Protein61,A0A2B4R561,34720.48479,0.001,86777.94366,325.8744742,407589.3689,50753.94097,0.001,6838.000393,38055.73657,59950.25325
Spis_Protein62,A0A2B4R582,2647299.677,857682.6265,4756469.676,299647.4579,2827600.008,2670464.945,85727.36552,2559505.409,223997.6725,535706.8498
Spis_Protein63,A0A2B4R592,898976.3962,2278582.538,223788.6582,2396746.789,6992.677029,26887.73236,207774.2294,262993.09,265340.5879,0.001
Spis_Protein64,A0A2B4R5D2,595093.5069,732859.0638,7093696.774,7059548.237,5396476.93,9668807.079,95625.88664,9590295.543,546948.3754,7652493.045
Spis_Protein65,A0A2B4R5G4,794425.7404,5703758.404,69356.74925,425780.3764,67774.08353,4962887.292,57960.50648,7544802.057,7086.828084,66728.98747
Spis_Protein66,A0A2B4R5J7,6079022.889,998003.6047,806566.9743,846724.7036,4570650.656,289494.8037,9483477.093,20548368.61,953644.5274,84945.38934
Spis_Protein67,A0A2B4R5K5,409043.5679,4234.808656,64266.24204,0.001,26986.63774,70639.27788,0.001,392992.5926,238238.9306,357006.2467
Spis_Protein68,A0A2B4R5L9,7224459.748,4332.072737,34823.54663,43942.60595,2929853.464,2492599.897,622965.9928,3874887.822,586300.8349,5944335.785
Spis_Protein69,A0A2B4R5M6,0.001,0.001,0.001,86036.8209,0.001,245554.6689,268653.488,282062.936,30027.53334,337447.0654
Spis_Protein70,A0A2B4R5N6,3774346.624,3844749.877,3932550.66,3898535.206,356303.9694,3540584.473,3062357.457,2837925.295,290580.5764,2958736.287
Spis_Protein71,A0A2B4R5R2,0.001,0.001,0.001,0.001,0.536683745,0.388336229,595398.6708,0.001,559796.7003,0.984858299
Spis_Protein72,A0A2B4R5R3,58785.08489,0.001,0.001,0.001,0.001,472956.7964,676.5340454,653702.8456,285795.6435,575397.5385
Spis_Protein73,A0A2B4R5S6,74704.62396,88402.06235,334268.9799,53475.66289,32770.58039,436595.5752,389997.9797,68443.49691,8849.666253,346442.8757
Spis_Protein74,A0A2B4R5S8,88953.65588,24059.48738,6276.79283,4484.243536,0.001,0.001,536560.9053,0.262437669,0.001,60478.4583
Spis_Protein75,A0A2B4R5V1,765297.9059,82847.79344,730370.8074,78074.26043,829267.509,403768.3607,9033.538889,2824.74003,54729.54585,58007.58476
Spis_Protein76,A0A2B4R5W4,980459.8726,77832.84542,2400.367698,0.928840097,780493.3654,8095.05455,276562.8058,5734.080804,38939.27926,0.903535904
Spis_Protein77,A0A2B4R5W5,42064208.4,508234.6638,54403243.5,3733962.904,33606463.88,6485890.901,3669352.057,4542598.983,29875992.25,27036803.33
Spis_Protein78,A0A2B4R5Y8,389806.7821,839483.3879,6366.23226,2207996.552,349832.875,37848.70028,394.7236654,504050.9294,679330.5546,272922.0784
Spis_Protein79,A0A2B4R630,9963.404562,0.001,0.07668894,397372.889,0.324420579,28626.90879,997853.644,359489.6988,596750.8298,54695.64976
Spis_Protein80,A0A2B4R631,2670337.6,295672.3624,522897.3593,67998.8076,838546.4785,8275666.88,6709988.239,7907858.748,244265.5235,6822080.949
Spis_Protein81,A0A2B4R639,97347.04943,44772.27797,38397.54364,329506.65870000003,2469364.265,2803490.45,3899.644762,34723.85646,385366.4208,3206762.676
Spis_Protein82,A0A2B4R661,5028882.756,426748.6238,2628592.493,4023787.273,4278634.309,332884.6248,4472805.651,7059445.455,3626982.909,4687322.431
Spis_Protein83,A0A2B4R687,687902.8082,437989.7245,0.001,578476.3804,0.001,40358.04027,0.001,0.064723803,0.001,0.001
Spis_Protein84,A0A2B4R6B9,3707550.31,2653326.396,25863.52429,3084649.293,249676.5065,39475.29234,954705.0694,3279543.09,2632790.399,59832.47586
Spis_Protein85,A0A2B4R6C0,2020424.692,68525337.89,46963643,38804602.46,227973.7449,5083200.358,87583767.25,77055480.03,5386882.727,45539005.24
Spis_Protein86,A0A2B4R6C8,25382.92447,26255.78377,365345.4428,773546.5661,222322.5303,234530.6037,2636730.062,244760.2998,6982332.357,46934.52733
Spis_Protein87,A0A2B4R6D3,68893.27483,0.433023275,447530.2009,0.828566447,0.396426085,244609.8483,24668.74837,0.001,365386.7876,4480.037707
Spis_Protein88,A0A2B4R6D5,0.001,293343.4891,5228945.248,0.001,587394.7936,28648.84366,0.001,35944.34826,53894.07453,322387.2608
Spis_Protein89,A0A2B4R6D6,783255.2489,9802809.594,8788586.424,596368.979,9732225.397,84340.55923,550943.9496,6882759.841,785373.9434,7907034.433
Spis_Protein90,A0A2B4R6H4,7727563.964,27888.99577,405886.5548,920222.2757,705870.977,840737.6538,64992.82023,707590.984,74693.65805,8578.234006
Spis_Protein91,A0A2B4R6Q6,2475984.835,230458.649,2776420.578,2855837.098,2723789.748,2073604.57,602883.2655,29540.22869,58573.46093,2074668.475
Spis_Protein92,A0A2B4R6R1,9222960.562,7364239.299,8324853.834,5847796.473,5350230.387,38620.74846,3524537.334,578802.3604,35723.95044,4040784.349
Spis_Protein93,A0A2B4R6T6,2332633.489,287526.7328,288003.9765,223593.2648,202654.4769,274668.3096,2490099.943,203784.7279,387099.6799,284368.9478
Spis_Protein94,A0A2B4R6U3,0.001,593555.0096,0.001,25878.48733,0.001,0.865466087,0.36297244,29706.42527,538459.7044,0.001
Spis_Protein95,A0A2B4R6V5,50980.57603,596346.4027,50633.05791,472890.8754,499.749573,304332.6031,94670.59068,272286.0246,489079.27,89988.75422
Spis_Protein96,A0A2B4R714,98795.84851,9234.564656,454845.9806,94723.67886,28769.04448,357539.8264,323058.4834,320788.2487,652682.0769,23272.52987
Spis_Protein97,A0A2B4R715,0.001,0.001,0.001,263697.0733,0.001,750530.5504,878622.4755,76779.34576,3533453.273,875684.2693
Spis_Protein98,A0A2B4R732,2397054.001,348096.045,7260.365059,20858.00535,798404.3258,283678.8246,89496.04369,974324.4009,329883.424,3830503.529
Spis_Protein99,A0A2B4R740,345549.5597,420064.2708,45653.86654,747545.299,824387.8059,640469.757,47043.58867,683556.4595,364428.7665,73764.69495
Spis_Protein100,A0A2B4R745,3675364.475,0.646203756,0.001,359657.6582,668398.7303,422337.2478,0.001,0.001,0.001,44727.50325
Spis_Protein101,A0A2B4R760,82695.37228,89847.34836,905953.6768,836955.4673,50374.93334,0.995879389,47952.89875,0.001,77778.43945,722490.8458
Spis_Protein102,A0A2B4R776,2245590.331,8298223.727,8287727.586,9844595.407,5877776.224,4640205.459,5055389.562,4494549.786,5834236.408,533223.6727
Spis_Protein103,A0A2B4R799,972480.3354,2028878.955,658490.5291,27825.24585,8053588.096,58752.86243,6744575.607,272876.8078,423.0327038,7406600.095
Spis_Protein104,A0A2B4R7C9,37229.83249,364498.5406,30668.53746,546380.3905,0.969627494,2992793.949,55698.43725,853530.4534,236686.6377,642066.9087
Spis_Protein105,A0A2B4R7E1,438850.5409,394607.5429,550098.4073,6336400.264,525305.305,3530562.807,4346538.433,635449.9869,437742.039,4225494.582
Spis_Protein106,A0A2B4R7G6,54293.04869,55406.42704,937777.579,240.548576,6668.369656,376224.4997,562837.8296,997733.6007,976749.296,886928.9985
Spis_Protein107,A0A2B4R7I1,336565.9206,64250.52465,440775.4546,308003.8846,270.6854584,27409.86401,5450.063799,98085.40683,904.0068375,346387.6898
Spis_Protein108,A0A2B4R7P8,6088988.785,3876332.744,2262465.944,4499423.777,3434825.422,2878972.95,9074400.446,533406.6765,8557675.966,730929.0391
Spis_Protein109,A0A2B4R7R8,85407.94495,9703868.357,22020203.23,4994625.755,7455894.443,2534258.477,50948.20998,6738068.43,27874247.56,274927.5447
Spis_Protein110,A0A2B4R7S7,0.001,2206.382843,858.0722049,0.001,0.001,0.234547731,24625.24649,4764.729604,0.652820221,0.001
Spis_Protein111,A0A2B4R7S8,96943.86777,45784.89828,73678.03071,49956.66264,45283.63954,364725.4379,3460747.935,3989884.556,29055.95373,365482.8324
Spis_Protein112,A0A2B4R7T6,59830.39034,7347.305288,627725.049,82656.94702,74349.92299,422236.9661,49749.53565,52837.92223,423359.6575,93027.08927
Spis_Protein113,A0A2B4R7U7,456042.8356,90833.55059,900870.4284,85493.94594,85406.2637,32967.24774,349049.6725,888493.6306,706050.0565,68905.08385
Spis_Protein114,A0A2B4R7W5,36377.74631,803608.8686,786455.0678,37036.67959,6958.426985,2552243.828,732782.2825,57.47047424,380348.5345,744648.7243
Spis_Protein115,A0A2B4R7Y3,7675395.757,948930.9893,435463.6034,3576432.665,533488.0955,456527.0657,360578.2087,206492.4957,2947935.928,535555.2484
Spis_Protein116,A0A2B4R7Y6,47696.46239,36656.30975,5755677.842,4353946.566,3446406.59,2860362.696,2647793.222,3292789.646,578632.3508,3988302.394
Spis_Protein117,A0A2B4R815,2295008.674,347406.2564,6007286.07,3273894.904,4449076.84,36659884.34,5030990.957,58925525.09,3222929.633,5256607.784
Spis_Protein118,A0A2B4R820,900450.6823,56304.86754,42650.57858,352258.5088,20239.62367,933089.236,2030298.506,2044209.855,906452.536,224028.3358
Spis_Protein119,A0A2B4R858,737689.8266,695322.5069,6692448.88,6976895.273,6025547.795,596889.2256,5738885.804,6999003.799,537974.9326,63025.37024
Spis_Protein120,A0A2B4R875,388373.4525,29568.9243,2674874.709,3669596.336,388053.0991,527494.8635,208979.8267,9588.40705,49623.98765,2208960.075
Spis_Protein121,A0A2B4R8A2,70608452.4,779269.5773,3034386.501,8707550.383,85432850.44,25204372.69,37282.86938,523890.8585,53656056.73,2838588.807
Spis_Protein122,A0A2B4R8A7,497246.338,49644.25971,552690.6754,776055.83,740570.5552,33973.39688,370774.6555,427058.7009,33440.77975,370429.2362
Spis_Protein123,A0A2B4R8A8,0.001,0.001,0.001,0.001,0.001,0.001,295.836792,33738.58446,0.001,42538.29967
Spis_Protein124,A0A2B4R8C7,448050.9336,2974684.906,7067579.396,96425.9674,4294937.803,2297279.427,2525098.329,8503299.525,727329.8967,20373593.69
Spis_Protein125,A0A2B4R8D9,287528.7231,402605.9853,285637.3421,5597.053294,547954.2459,0.001,0.629884499,0.001,0.086372059,0.895327564
Spis_Protein126,A0A2B4R8E0,29023.57266,23889043.54,5295222.789,87468.08731,48644079.93,7870239.729,899003.8446,34356927.1,33435886.38,3203997.066
Spis_Protein127,A0A2B4R8E5,7633395.488,9785820.769,580669.3773,699494.4623,730093.4686,589344.8968,4488278.093,4879854.473,6393968.393,48704.64749
Spis_Protein128,A0A2B4R8F3,55289.75443,85680.68954,795729.9744,4904.550766,753029.4946,45027.85559,23430.05725,2468888.578,5944846.638,2848570.72
Spis_Protein129,A0A2B4R8F6,7072.57223,543793.3827,50995.69764,9640.286279,65430.30329,635754.6505,574684.2756,66303.78863,974220.7325,75733.23327
Spis_Protein130,A0A2B4R8J1,974499.2925,887370.42,946334.524,3334799.22,657840.0763,995789.0822,75668.24757,2052092.268,574243.6497,2066385.494
Spis_Protein131,A0A2B4R8J4,883496.7944,920259.0448,884542.9356,2427225.076,243949.378,82495.92981,603582.3709,682532.9095,848809.0873,77065.35223
Spis_Protein132,A0A2B4R8L2,3240760.729,68376.637,3936570.81,88956.84233,43669.33865,855584.794,282455.3085,2989346.023,7876563.436,759557.4471
Spis_Protein133,A0A2B4R8M9,698753.8959,63834.86668,39096.28323,63362.724,726980.0693,452953.4834,49366.08649,768035.6086,34882.46365,2935.440729
Spis_Protein134,A0A2B4R8N3,783949.5324,65228.92887,286540.7589,525938.6058,228527.6558,208822.8771,53424.95267,584430.965,623908.298,583888.528
Spis_Protein135,A0A2B4R8N7,0.001,0.001,2086963.059,0.001,2800.473624,0.001,83255.46384,682457.0476,467978.4353,687535.7575
Spis_Protein136,A0A2B4R8Q5,70647669.84,64266557.08,7047374.442,50370668.85,40473370.63,766590.0696,8270285.509,45957845.54,2038987.755,73465022.73
Spis_Protein137,A0A2B4R8W8,764826.3649,54203.22794,387600.4963,22666.2647,64795.85097,529598.5265,2876990.595,2039582.851,28000.99573,86960.76779
Spis_Protein138,A0A2B4R8X2,58564305.96,6087798.772,5688342.374,66057743.36,83289549.67,866963.4793,76368068.73,4029.60389,9390542.05,5090720.78
Spis_Protein139,A0A2B4R8X5,56520.9208,47784.5225,503560.2525,545325.7976,36772.63835,942744.9725,983960.7703,999942.8589,94839.70563,74495.63202
Spis_Protein140,A0A2B4R8Y8,26757.02229,347738.9746,239266.2461,887379.3855,274855.8347,430809.3291,370429.7844,245665.7453,3965835.967,3894398.621
Spis_Protein141,A0A2B4R926,344285.3454,785096.3264,784643.2585,330835.3263,430877.9235,5646280.059,3042373.933,2804795.434,4432206.469,352408.6679
Spis_Protein142,A0A2B4R942,2535344.402,2899337.539,3367.294496,644756.607,27687.49363,864565.5631,755680.5582,836936.488,2322825.737,826004.7909
Spis_Protein143,A0A2B4R965,3639726.745,490057.5833,4252664.488,379342.7877,2663740.665,4205636.99,4570.972906,6499309.456,502873.4236,375730.2725
Spis_Protein144,A0A2B4R993,338674.8776,388858.2298,340842.0758,403034.5639,3464387.26,4003024.873,3274686.262,326980.6896,3236209.48,2768704.634
Spis_Protein145,A0A2B4R995,348757.4698,2903.366207,429683.2466,3873207.879,3059949.41,397554.2455,4004798.836,528896.4236,297978.0304,363743.6249
Spis_Protein146,A0A2B4R9A5,397959.6203,32845.47544,0.001,0.001,277798.851,549743.8342,48242.37677,660822.0765,500789.754,6305.547385
Spis_Protein147,A0A2B4R9C4,57758.58496,28964.73945,24768.75737,2622306.449,502375.5792,774758.771,25898.94636,707783.7826,8666.836929,660956.6331
Spis_Protein148,A0A2B4R9D9,259296.7736,33265.36478,2826583.377,2920668.374,2540202.666,68729.62957,2429469.826,2038574.676,460500.2338,938432.87990000006
Spis_Protein149,A0A2B4R9E9,9698508.808,500742.5946,264988.9281,74993.60683,9658483.972,720280.3053,9050067.764,70472.26635,240052.4796,22029.93634
Spis_Protein150,A0A2B4R9F0,57940.2567,93284.29294,44567.4305,0.001,563542.9453,450854.0479,84000.70468,94455.24284,53730.83484,329305.5482
Spis_Protein151,A0A2B4R9G1,549934.7293,88045.62679,4575.602575,382397.0268,548526.2379,7576939.23,7087200.528,366336.6877,6668022.364,736798.4973
Spis_Protein152,A0A2B4R9G5,3093989.95,269466.6593,3454448.825,2804743.5,256355.4308,6276007.476,35008.89206,220356.0335,59639.58841,6747549.949
Spis_Protein153,A0A2B4R9H1,92399.08744,488535.4623,33623.74791,663554.4578,648073.8634,783702.0945,606447.3598,409220.2068,205058.8688,0.001
Spis_Protein154,A0A2B4R9H3,53726.23602,298329.7305,426457.2574,985929.3985,380800.8638,406899.8779,342530.7058,782959.9293,506042.6937,48308.39491
Spis_Protein155,A0A2B4R9I4,4245.645342,486463.8398,403590.3822,35440.97207,273095.0985,95600.69229,6693.043935,2864.774609,940.7308532,23579.69483
Spis_Protein156,A0A2B4R9K1,909878.4087,985496.2309,76754.37857,895026.3377,985430.6077,28828.68868,476999.4926,75762.06287,434685.3485,296739.7358
Spis_Protein157,A0A2B4R9N5,895357.4687,878904.0028,846626.5437,494672.8504,246939.4989,73533.698,423259.4895,49888.2549,62692.64264,57408.38206
Spis_Protein158,A0A2B4R9Q2,209059.5498,507468.9954,680676.5337,24628.4659,568422.7393,0.679566406,0.887922602,340825.002,0.001,0.03700408
Spis_Protein159,A0A2B4R9Q9,627988920,66524789.29,862322855.6,77220380.83,682752952.3,528698847.6,480594934.7,5663240.696,489200435.9,544284923.9
Spis_Protein160,A0A2B4R9R1,499778.2366,3908758.959,6205306.78,5056055.401,5307024.586,343860.9975,336344.4586,383485.7348,340626.2824,3883544.909
Spis_Protein161,A0A2B4R9R6,72805.53795,62057.03705,707936.765,824930.2545,368256.5367,876802.8224,84585.07523,968043.8505,655457.9549,5700999.501
Spis_Protein162,A0A2B4R9R7,2322607.71,30502.20284,34854.45865,2344505.824,684986.2427,6703907.879,438523.2569,47422.34335,738539.7778,39205.99457
Spis_Protein163,A0A2B4R9V1,332475.9099,30665.24866,2934264.803,2464876.445,28404.2707,322926.277,2769960.447,29236.67989,39985.48327,2545975.426
Spis_Protein164,A0A2B4R9W7,4646849.296,536650.04,624769.3653,304397.8495,5953939.87,5055300.686,406335.9004,399987.9086,6483304.065,6423224.349
Spis_Protein165,A0A2B4R9X0,63756085.74,70369602.37,8848379.379,57569636.97,3363463.6,72756237.99,72296948.24,6657672.708,63829538.73,62904009.25
Spis_Protein166,A0A2B4R9Z1,0.001,595993.2739,0.028994658,5693.490406,86380.06592,7974.673733,453254.7987,0.001,770099.6379,667474.3527
Spis_Protein167,A0A2B4R9Z2,560223.5564,720800.2369,899.9064025,7756.474595,897546.4863,87740.73556,885336.8859,760860.0033,782688.7723,675755.7057
Spis_Protein168,A0A2B4RA05,40080.93039,5559738.871,530708.8383,8222554.686,360267.3357,5395706.455,296474.4049,458703.589,6586467.363,4402632.049
Spis_Protein169,A0A2B4RA09,7507.602926,827427.6809,4895.377837,7448.856206,684230.4808,70824.48708,64238.46358,95660.953,883695.0559,66829.79553
Spis_Protein170,A0A2B4RA29,30758568.28,3203508.782,3297368.853,300469.7705,27985022.08,27446507.54,2836622.789,27097530.06,27663079.54,24734745.26
Spis_Protein171,A0A2B4RA31,27302.74786,9693.267426,2096350.751,2797069.605,726497.81,3453004.688,787436.399,9047447.253,2736357.591,924874.7099
Spis_Protein172,A0A2B4RA34,788299.6609,450873.7839,404957.4742,59527.72241,570479.871,9398.092383,85345.7073,5006.232526,96052.57586,50274.97955
Spis_Protein173,A0A2B4RA39,437038.4799,4274649.949,3773607.47,2290720.355,267392686.5,298876055,22884880.45,769586559.2,932073.2653,5875420.69
Spis_Protein174,A0A2B4RA49,4080055.636,2499678.566,3556507.859,454760.3908,3546337.307,3640294.603,2909472.7,4620275.758,6498.82996,40088.44425
