gene_id,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
Montipora_capitata_HIv3___TS.g4789.t1,4,2,0,0,0,0,1,4,6
Montipora_capitata_HIv3___RNAseq.g6231.t1,157,162,136,173,90,164,22,25,96
Montipora_capitata_HIv3___RNAseq.g28660.t1,0,0,1,0,1,0,10,1,5
Montipora_capitata_HIv3___RNAseq.g32618.t1,53,32,5,61,89,76,1013,1046,2067
Montipora_capitata_HIv3___RNAseq.g38158.t1,0,4,0,0,0,1,0,3,1
Montipora_capitata_HIv3___RNAseq.g33987.t1,0,1,1,1,1,1,0,1,2
Montipora_capitata_HIv3___RNAseq.g19968.t1,1816,2360,2570,2637,2063,2660,774,1175,1487
Montipora_capitata_HIv3___RNAseq.g47917.t1,5,0,0,4,0,3,0,0,13
Montipora_capitata_HIv3___RNAseq.g20486.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g11023.t1,0,0,0,0,0,0,2,0,0
Montipora_capitata_HIv3___RNAseq.g24692.t1,9,15,13,12,7,15,12,25,31
Montipora_capitata_HIv3___RNAseq.g47262.t1,133,54,146,171,38,162,187,165,272
Montipora_capitata_HIv3___RNAseq.g14916.t1,690,910,778,747,712,739,17,2,2
Montipora_capitata_HIv3___RNAseq.g47848.t1,0,0,0,8,0,5,0,2,0
Montipora_capitata_HIv3___RNAseq.42542_t,19,18,17,32,24,28,6,22,31
Montipora_capitata_HIv3___TS.g38124.t1,1037,1150,1345,1284,936,1355,481,510,924
Montipora_capitata_HIv3___RNAseq.g21163.t1,3,0,2,1,0,2,0,2,1
Montipora_capitata_HIv3___RNAseq.g9640.t1,4126,4331,4389,3477,3054,3700,1999,3415,3878
Montipora_capitata_HIv3___RNAseq.g10888.t1,0,0,0,0,0,0,0,5,9
Montipora_capitata_HIv3___RNAseq.g31864.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18279.t1a,194,134,111,105,108,176,17,9,18
Montipora_capitata_HIv3___RNAseq.g44660.t1,10,5,3,6,6,7,1,0,0
Montipora_capitata_HIv3___RNAseq.g49243.t1,0,12,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18279.t1b,1,0,3,0,4,0,0,1,3
Montipora_capitata_HIv3___RNAseq.g2970.t1a,4,8,4,3,0,3,4,10,15
Montipora_capitata_HIv3___TS.g42640.t1,0,0,0,0,0,0,0,0,6
Montipora_capitata_HIv3___RNAseq.g37069.t1,339,412,406,331,336,334,52,57,149
Montipora_capitata_HIv3___RNAseq.g2970.t1b,0,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___RNAseq.g22387.t1,0,0,0,0,0,0,0,8,0
Montipora_capitata_HIv3___RNAseq.g16466.t1,108,100,112,136,103,118,28,58,135
Montipora_capitata_HIv3___RNAseq.g8038.t1,543,591,775,701,428,462,244,344,537
Montipora_capitata_HIv3___RNAseq.g49214.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g21730.t1,204,200,206,211,222,152,149,200,186
Montipora_capitata_HIv3___TS.g10940.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g228.t1,4,0,7,4,0,2,0,6,0
Montipora_capitata_HIv3___RNAseq.g30129.t1,1257,1485,1602,1889,1824,2131,2327,4109,3639
