gene_id,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
Pocillopora_acuta_HIv2___RNAseq.g8336.t1,326,639,508,323,502,760,904,757,887
Pocillopora_acuta_HIv2___RNAseq.g28843.t1,44,60,66,17,0,42,139,154,163
Pocillopora_acuta_HIv2___TS.g15900.t2,17,0,43,55,75,61,60,0,50
Pocillopora_acuta_HIv2___RNAseq.g15629.t1,380,428,598,661,479,700,610,527,627
Pocillopora_acuta_HIv2___RNAseq.g26127.t1,680,840,1167,1039,825,806,702,686,613
Pocillopora_acuta_HIv2___RNAseq.g18398.t1,194,354,378,517,387,297,654,498,634
Pocillopora_acuta_HIv2___RNAseq.g2318.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g25876.t3,539,953,1237,95,139,219,492,548,533
Pocillopora_acuta_HIv2___RNAseq.g10777.t1,276,459,535,372,462,455,457,413,418
Pocillopora_acuta_HIv2___RNAseq.g9761.t1,4301,5405,5178,4708,5141,4181,4454,3578,4016
Pocillopora_acuta_HIv2___RNAseq.g14051.t1,165,248,233,265,385,307,284,370,291
Pocillopora_acuta_HIv2___RNAseq.g838.t1,0,0,0,0,0,0,5,0,0
Pocillopora_acuta_HIv2___TS.g16673.t1,12,26,32,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g24352.t1,855,1023,1320,712,600,738,1372,1404,1590
Pocillopora_acuta_HIv2___TS.g1237.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g7504.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g16485.t1,729,1030,1225,1250,1211,1509,1392,1499,1565
Pocillopora_acuta_HIv2___TS.g13477.t1,6,9,5,16,19,30,3,27,9
Pocillopora_acuta_HIv2___TS.g17711.t1,859,1356,1501,552,313,656,608,620,547
Pocillopora_acuta_HIv2___TS.g15202.t1,2,0,0,2,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g8271.t1,191,296,317,187,331,172,215,185,197
Pocillopora_acuta_HIv2___TS.g29115.t1,0,0,21,25,6,30,304,493,792
Pocillopora_acuta_HIv2___RNAseq.g30508.t1,4,0,3,0,0,0,16,26,15
Pocillopora_acuta_HIv2___RNAseq.g2793.t1b,238,312,396,270,360,288,270,217,291
Pocillopora_acuta_HIv2___RNAseq.g1136.t1,3,7,15,8,8,11,108,70,103
Pocillopora_acuta_HIv2___TS.g5018.t1,0,3,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g31504.t1,3,0,3,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3800.t1,64,42,57,9,11,0,19,11,19
Pocillopora_acuta_HIv2___TS.g16614.t1,1,1,1,1,1,1,1,1,1
Pocillopora_acuta_HIv2___RNAseq.g3667.t1,33,40,36,33,49,57,54,35,41
Pocillopora_acuta_HIv2___RNAseq.g29287.t1,52,47,94,9,14,13,52,42,86
Pocillopora_acuta_HIv2___RNAseq.g1153.t1,3,21,7,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g630.t1,0,0,0,0,0,1,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27827.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11315.t1,14,16,16,7,5,10,7,17,16
Pocillopora_acuta_HIv2___RNAseq.g30290.t1,0,0,0,3,0,0,2,0,3
Pocillopora_acuta_HIv2___RNAseq.g24131.t1,160,221,290,1259,982,991,1464,1240,1252
Pocillopora_acuta_HIv2___RNAseq.g31137.t1,0,0,0,0,0,5,4,0,5
Pocillopora_acuta_HIv2___RNAseq.g21357.t1,0,0,0,0,0,0,7,3,0
Pocillopora_acuta_HIv2___RNAseq.g24967.t1,20,19,9,0,0,0,37,35,47
Pocillopora_acuta_HIv2___RNAseq.g11317.t1,0,11,3,0,5,0,14,21,23
Pocillopora_acuta_HIv2___RNAseq.g1134.t1,1942,2085,1892,1886,2509,1621,2292,1598,1826
Pocillopora_acuta_HIv2___RNAseq.g10678.t1,41,20,47,11,10,15,28,34,22
Pocillopora_acuta_HIv2___RNAseq.g20041.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g21119.t1,31,34,49,18,39,18,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g25757.t1,281,425,539,462,332,384,587,580,568
Pocillopora_acuta_HIv2___RNAseq.g28293.t1,151,199,199,355,273,307,370,387,342
Pocillopora_acuta_HIv2___RNAseq.g24965.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3802.t1,4,9,15,3,5,5,107,101,115
Pocillopora_acuta_HIv2___RNAseq.g4611.t1,141,214,237,651,547,533,129,155,99
Pocillopora_acuta_HIv2___TS.g17570.t1a,1373,1994,2080,2245,2189,1888,946,955,1070
Pocillopora_acuta_HIv2___RNAseq.g6973.t1,140,119,169,1571,1540,1073,484,502,580
Pocillopora_acuta_HIv2___RNAseq.g13078.t1,0,0,0,0,0,0,2,0,0
Pocillopora_acuta_HIv2___TS.g17570.t1b,173,200,251,286,322,260,398,306,325
Pocillopora_acuta_HIv2___RNAseq.g6834.t1,0,0,16,21,0,0,0,7,17
Pocillopora_acuta_HIv2___RNAseq.g9672.t1,237,326,349,144,86,210,389,320,364
Pocillopora_acuta_HIv2___RNAseq.g26425.t1,46,73,52,13,9,43,47,21,44
Pocillopora_acuta_HIv2___RNAseq.g12306.t1,290,361,544,419,217,766,1040,1250,862
Pocillopora_acuta_HIv2___TS.g14799.t1,51,37,52,49,64,46,18,39,58
Pocillopora_acuta_HIv2___RNAseq.g9759.t1,167,229,284,138,54,305,7144,7305,7822
Pocillopora_acuta_HIv2___RNAseq.g11764.t1,10,15,15,39,27,60,33,32,59
Pocillopora_acuta_HIv2___RNAseq.23576_t,0,0,10,14,8,20,59,57,56
Pocillopora_acuta_HIv2___RNAseq.g16163.t1,39,39,30,6,5,8,4,18,15
Pocillopora_acuta_HIv2___RNAseq.g6564.t1,0,0,6,0,0,0,54,50,63
Pocillopora_acuta_HIv2___RNAseq.g857.t1,15853,22296,24031,7107,7222,3593,1090,1223,907
Pocillopora_acuta_HIv2___RNAseq.g20043.t1,0,0,0,3,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28105.t1,3208,4481,4559,5202,5034,4946,4852,4434,4874
Pocillopora_acuta_HIv2___RNAseq.g24853.t1,317,553,575,592,604,632,1054,929,797
Pocillopora_acuta_HIv2___TS.g20819.t3,65,102,109,84,63,66,62,59,94
Pocillopora_acuta_HIv2___RNAseq.g28318.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g7379.t1,1,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28107.t1,470,734,770,1041,977,472,919,437,553
Pocillopora_acuta_HIv2___TS.g29761.t1b,279,309,381,149,230,205,284,255,198
Pocillopora_acuta_HIv2___RNAseq.g10735.t1,14,18,19,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g24851.t1,7,10,10,0,2,3,8,3,10
Pocillopora_acuta_HIv2___RNAseq.g26387.t1,106,111,109,40,39,19,101,71,80
Pocillopora_acuta_HIv2___TS.g1936.t1,0,9,7,6,0,0,65,70,73
Pocillopora_acuta_HIv2___RNAseq.g13082.t1,183,265,269,289,163,273,172,272,351
Pocillopora_acuta_HIv2___RNAseq.g13878.t1,736,1239,1409,1118,1178,1066,1051,942,1076
Pocillopora_acuta_HIv2___RNAseq.g19193.t1,857,1178,1313,2743,3064,3939,3657,3543,3655
Pocillopora_acuta_HIv2___RNAseq.g26060.t1,390,499,599,363,445,488,343,453,458
Pocillopora_acuta_HIv2___TS.g10637.t1,68,104,111,37,34,54,45,55,44
Pocillopora_acuta_HIv2___RNAseq.g24152.t1,17,31,21,13,25,26,34,47,96
Pocillopora_acuta_HIv2___RNAseq.g20981.t1,5,7,3,7,2,8,3,2,5
Pocillopora_acuta_HIv2___RNAseq.g14053.t1,15,14,25,8,3,17,49,32,29
Pocillopora_acuta_HIv2___RNAseq.g16161.t1,24,33,0,33,4,0,198,245,264
Pocillopora_acuta_HIv2___RNAseq.g19301.t1,35,25,46,81,99,153,56,38,66
Pocillopora_acuta_HIv2___RNAseq.g25105.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.3640_t,8,5,12,7,4,0,0,0,6
Pocillopora_acuta_HIv2___TS.g13187.t1b,569,655,679,612,537,320,152,142,229
Pocillopora_acuta_HIv2___RNAseq.g9546.t1,41,107,100,2118,3106,2417,3098,2761,2568
Pocillopora_acuta_HIv2___RNAseq.g19823.t2,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g14447.t1,88,161,189,0,4,0,46,48,36
Pocillopora_acuta_HIv2___TS.g24950.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27223.t1,284,432,581,156,190,264,350,375,279
Pocillopora_acuta_HIv2___RNAseq.g1318.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g15264.t1,389,685,594,567,681,494,679,613,501
Pocillopora_acuta_HIv2___RNAseq.g9921.t1,439,927,744,272,224,600,626,656,701
Pocillopora_acuta_HIv2___TS.g1334.t1,3,5,0,3,2,0,3,4,12
Pocillopora_acuta_HIv2___RNAseq.g6605.t1,151,246,313,445,577,368,480,477,383
Pocillopora_acuta_HIv2___TS.g20605.t1,19,54,31,0,0,0,83,83,74
Pocillopora_acuta_HIv2___RNAseq.g13080.t1,22,15,29,17,17,11,20,48,37
Pocillopora_acuta_HIv2___RNAseq.g3720.t1,199,241,333,126,201,104,110,117,67
Pocillopora_acuta_HIv2___RNAseq.g29380.t1,53,77,131,11,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g6416.t1,1,0,1,0,0,0,3,1,0
Pocillopora_acuta_HIv2___TS.g14164.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g7232.t1,209,341,364,65,59,106,274,171,242
Pocillopora_acuta_HIv2___RNAseq.g15266.t1,118,165,195,82,126,79,329,326,289
Pocillopora_acuta_HIv2___RNAseq.g7129.t1,108,168,166,23,0,22,90,69,117
Pocillopora_acuta_HIv2___TS.g14052.t1,73,111,132,62,39,106,127,211,198
Pocillopora_acuta_HIv2___RNAseq.g26233.t1,354,402,454,195,194,394,534,413,463
Pocillopora_acuta_HIv2___TS.g26541.t1,0,0,0,0,5,0,3,9,6
Pocillopora_acuta_HIv2___RNAseq.g20997.t1a,8,14,25,0,0,9,9,8,10
Pocillopora_acuta_HIv2___RNAseq.g17082.t1,839,2124,1403,82525,104160,52261,78334,56848,57065
Pocillopora_acuta_HIv2___RNAseq.g12386.t1,158,278,394,122,112,152,179,253,190
Pocillopora_acuta_HIv2___RNAseq.g9654.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g20607.t1,5,9,6,0,0,3,6,10,7
Pocillopora_acuta_HIv2___RNAseq.g25021.t1,24,13,21,0,0,0,246,306,205
Pocillopora_acuta_HIv2___TS.g16964.t1,5,2,3,3,0,3,0,2,4
Pocillopora_acuta_HIv2___RNAseq.g31135.t1,805,1176,1228,1343,1431,1140,1121,1058,955
Pocillopora_acuta_HIv2___TS.g21966.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g14132.t1b,7,0,9,0,0,0,7,6,15
Pocillopora_acuta_HIv2___RNAseq.g13232.t1,430,436,467,212,230,214,269,228,253
Pocillopora_acuta_HIv2___TS.g14132.t1a,8,9,8,0,1,0,8,8,11
Pocillopora_acuta_HIv2___RNAseq.g27589.t1,5,9,7,2,0,0,2,6,0
Pocillopora_acuta_HIv2___RNAseq.g12384.t1,51,60,36,3,3,2,19,11,14
Pocillopora_acuta_HIv2___RNAseq.g25652.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.5136_t,0,0,17,63,60,71,41,31,43
Pocillopora_acuta_HIv2___RNAseq.g5929.t1,1,1,2,2,0,1,2,1,4
Pocillopora_acuta_HIv2___RNAseq.g6607.t1,260,518,499,325,339,468,518,502,546
Pocillopora_acuta_HIv2___RNAseq.g8782.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9923.t1,146,212,197,188,125,164,325,332,265
Pocillopora_acuta_HIv2___RNAseq.g11816.t1,186,485,324,28,7,33,370,256,382
Pocillopora_acuta_HIv2___RNAseq.g12409.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3556.t1,22,11,30,32,68,34,49,26,27
Pocillopora_acuta_HIv2___RNAseq.g23272.t1,10,20,17,10,7,9,8,8,7
Pocillopora_acuta_HIv2___RNAseq.g18278.t1,202,298,218,189,189,260,150,130,148
Pocillopora_acuta_HIv2___RNAseq.g29412.t1,11,7,41,0,0,0,33,44,58
Pocillopora_acuta_HIv2___RNAseq.g415.t1,9,11,6,17,0,15,3,12,8
Pocillopora_acuta_HIv2___RNAseq.g21962.t1,133,184,178,684,679,910,268,297,229
Pocillopora_acuta_HIv2___TS.g14050.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g24668.t1,306,287,459,34,39,29,343,318,426
Pocillopora_acuta_HIv2___RNAseq.g1571.t1,10,12,38,4,5,4,13,5,12
Pocillopora_acuta_HIv2___TS.g8307.t1,5,0,0,3,0,8,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11814.t1,0,10,0,15,19,17,14,14,9
Pocillopora_acuta_HIv2___RNAseq.g29674.t1,0,0,0,0,0,0,4,0,5
Pocillopora_acuta_HIv2___RNAseq.g11501.t1,279,600,568,223,255,335,950,869,850
Pocillopora_acuta_HIv2___RNAseq.g14683.t1,61,84,68,80,110,131,66,54,137
Pocillopora_acuta_HIv2___RNAseq.g18158.t1,263,414,521,272,376,323,693,650,632
Pocillopora_acuta_HIv2___TS.g16966.t1,15,31,58,0,0,2,0,16,26
Pocillopora_acuta_HIv2___RNAseq.g23131.t1,2,0,0,0,0,1,0,0,2
Pocillopora_acuta_HIv2___TS.g17398.t1,2,3,1,7,7,3,3,3,2
Pocillopora_acuta_HIv2___RNAseq.g5103.t1,4,5,7,3,2,4,3,2,6
Pocillopora_acuta_HIv2___TS.g26620.t1,0,0,3,0,0,0,0,3,0
Pocillopora_acuta_HIv2___TS.g8305.t1,0,0,0,18,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g29534.t1b,11,0,0,0,0,3,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g29534.t1a,0,0,6,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g417.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g4713.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g30010.t1,8,8,6,62,45,27,31,18,14
Pocillopora_acuta_HIv2___RNAseq.g20470.t1,38,72,60,9,15,14,83,137,98
Pocillopora_acuta_HIv2___RNAseq.g15042.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22690.t1,638,831,701,1660,2200,1076,1325,1138,1065
Pocillopora_acuta_HIv2___RNAseq.g25363.t1a,229,294,344,268,324,353,474,402,443
Pocillopora_acuta_HIv2___RNAseq.g25363.t1b,2098,2469,3246,1829,1652,1708,7740,6993,7112
Pocillopora_acuta_HIv2___RNAseq.g15608.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1246.t1,9,30,31,7,0,8,16,36,25
Pocillopora_acuta_HIv2___RNAseq.g2736.t1,52,33,74,87,68,106,69,65,72
Pocillopora_acuta_HIv2___RNAseq.g9821.t1,657,1193,1363,238,144,206,194,439,521
Pocillopora_acuta_HIv2___RNAseq.g17419.t1,177,304,353,134,176,162,163,144,118
Pocillopora_acuta_HIv2___TS.g9752.t3,0,2,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g15927.t1,13,35,37,17,9,14,53,82,48
Pocillopora_acuta_HIv2___TS.g2323.t1b,54,75,96,41,36,20,48,55,42
Pocillopora_acuta_HIv2___TS.g2323.t1a,173,254,236,29,53,55,159,150,105
Pocillopora_acuta_HIv2___RNAseq.g2549.t1,13,19,28,5,6,7,36,27,23
Pocillopora_acuta_HIv2___TS.g28195.t1,107,208,256,65,83,162,422,358,307
Pocillopora_acuta_HIv2___RNAseq.g29038.t1,295,287,356,365,361,333,378,463,399
Pocillopora_acuta_HIv2___RNAseq.g12942.t1,26,22,28,35,71,32,28,61,47
Pocillopora_acuta_HIv2___RNAseq.g11503.t1,5,21,20,6,0,9,134,106,116
Pocillopora_acuta_HIv2___RNAseq.g14970.t1,0,2,3,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g17125.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19762.t1,2,2,0,5,7,8,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9823.t1,125,148,221,2649,3697,1882,57,62,71
Pocillopora_acuta_HIv2___RNAseq.g4629.t1,31,41,58,53,19,75,156,253,169
Pocillopora_acuta_HIv2___TS.g3186.t1,72,125,132,7,0,18,18,12,33
Pocillopora_acuta_HIv2___RNAseq.g10737.t1,8,25,25,16,47,12,26,15,21
Pocillopora_acuta_HIv2___RNAseq.g13555.t1,422,450,546,982,1131,874,365,303,381
Pocillopora_acuta_HIv2___RNAseq.g19821.t1,0,0,0,0,3,6,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g12849.t1,1182,1683,2362,921,740,1124,1148,1306,1323
Pocillopora_acuta_HIv2___RNAseq.g24517.t1,7,11,4,8,6,7,13,24,49
Pocillopora_acuta_HIv2___RNAseq.g26062.t1,744,1132,1328,490,560,701,477,529,539
Pocillopora_acuta_HIv2___RNAseq.g9959.t1,4,5,13,0,5,5,24,30,36
Pocillopora_acuta_HIv2___TS.g2954.t1,0,1,2,1,0,1,4,3,8
Pocillopora_acuta_HIv2___TS.g22447.t2,135,159,212,161,136,139,196,205,211
Pocillopora_acuta_HIv2___RNAseq.g15878.t1,32,43,88,0,0,0,3273,4715,3447
Pocillopora_acuta_HIv2___RNAseq.g28417.t1,28,15,30,0,0,19,38,77,55
Pocillopora_acuta_HIv2___RNAseq.g18405.t1,99,83,155,113,151,103,42,33,53
Pocillopora_acuta_HIv2___RNAseq.g8765.t1,112,121,190,1266,1015,1150,284,259,273
Pocillopora_acuta_HIv2___TS.g12875.t1,10,13,23,15,12,27,0,21,27
Pocillopora_acuta_HIv2___RNAseq.g13072.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g8261.t1,650,946,1279,467,481,472,391,462,479
Pocillopora_acuta_HIv2___RNAseq.g24515.t1,14,27,32,4,6,2,7,6,10
Pocillopora_acuta_HIv2___RNAseq.g20580.t1,130,309,370,0,28,0,154,184,182
Pocillopora_acuta_HIv2___RNAseq.g29962.t1,335,409,487,224,308,278,291,305,282
Pocillopora_acuta_HIv2___RNAseq.g16905.t1,3,10,14,132,180,217,97,103,56
Pocillopora_acuta_HIv2___RNAseq.g3813.t1,134,309,392,53,28,62,1386,1356,1420
Pocillopora_acuta_HIv2___RNAseq.g13070.t1,2157,2179,2611,3142,3866,2509,1505,1363,1724
Pocillopora_acuta_HIv2___RNAseq.g17837.t1,0,0,0,0,0,0,22,0,0
Pocillopora_acuta_HIv2___RNAseq.g13557.t1,12,26,26,20,22,48,58,32,35
Pocillopora_acuta_HIv2___RNAseq.g29259.t1,10,15,12,15,9,32,2,3,2
Pocillopora_acuta_HIv2___TS.g16603.t2,0,6,0,0,0,0,0,0,8
Pocillopora_acuta_HIv2___TS.g12420.t2,236,278,429,170,115,255,336,392,321
Pocillopora_acuta_HIv2___RNAseq.g29382.t1,0,7,0,0,0,0,175,145,149
Pocillopora_acuta_HIv2___TS.g17416.t1,7,11,5,0,0,0,2,3,0
Pocillopora_acuta_HIv2___RNAseq.g20584.t1,0,0,0,0,0,0,858,608,683
Pocillopora_acuta_HIv2___TS.g30428.t1,2,3,5,2,0,2,3,1,2
Pocillopora_acuta_HIv2___TS.g31340.t1,0,0,2,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g24012.t1,110,84,119,29,41,39,56,48,58
Pocillopora_acuta_HIv2___RNAseq.g4897.t1,24,53,39,11,0,15,44,44,43
Pocillopora_acuta_HIv2___RNAseq.g9143.t1,0,0,0,0,0,0,1,1,0
Pocillopora_acuta_HIv2___RNAseq.g2723.t1,553,687,805,494,521,500,982,931,953
Pocillopora_acuta_HIv2___RNAseq.g30355.t1,0,0,0,0,0,1,0,0,0
Pocillopora_acuta_HIv2___TS.g8129.t1,227,205,215,111,175,119,197,179,153
Pocillopora_acuta_HIv2___TS.g9176.t3,480,468,628,570,652,566,779,693,649
Pocillopora_acuta_HIv2___RNAseq.g5851.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g13755.t1,2,11,11,7,5,10,7,6,15
Pocillopora_acuta_HIv2___RNAseq.11610_t,0,0,4,0,0,0,0,4,0
Pocillopora_acuta_HIv2___TS.g7164.t1,4,0,0,0,0,0,2,5,0
Pocillopora_acuta_HIv2___RNAseq.g22707.t1,3,2,8,3,2,2,4,3,4
Pocillopora_acuta_HIv2___RNAseq.g3741.t1,472,506,559,412,513,491,649,591,582
Pocillopora_acuta_HIv2___TS.g22868.t1b,176,170,285,14,33,58,152,142,200
Pocillopora_acuta_HIv2___TS.g22868.t1a,8,20,23,4,7,7,8,7,6
Pocillopora_acuta_HIv2___RNAseq.g3811.t1,23,40,20,4,0,8,5,10,8
Pocillopora_acuta_HIv2___RNAseq.g10965.t1,501,567,771,82,85,160,409,336,338
Pocillopora_acuta_HIv2___RNAseq.g29443.t1,275,400,437,35,42,125,247,257,259
Pocillopora_acuta_HIv2___RNAseq.g2978.t1,247,335,396,231,221,275,192,229,190
Pocillopora_acuta_HIv2___RNAseq.g22225.t1,95,96,93,84,77,133,143,170,153
Pocillopora_acuta_HIv2___RNAseq.g1518.t1,846,1000,1158,322,458,373,504,407,366
Pocillopora_acuta_HIv2___RNAseq.g14737.t1,441,1040,673,8355,10089,4748,1561,1528,1305
Pocillopora_acuta_HIv2___TS.g11400.t1,579,1130,884,224,246,274,419,517,503
Pocillopora_acuta_HIv2___TS.g11002.t4,5,9,15,3,5,12,49,27,76
Pocillopora_acuta_HIv2___RNAseq.g24538.t1,67,102,181,66,50,43,496,425,463
Pocillopora_acuta_HIv2___RNAseq.g28921.t1,15,21,29,84,58,93,30,37,18
Pocillopora_acuta_HIv2___RNAseq.g24010.t1,65,81,111,22,28,43,96,82,88
Pocillopora_acuta_HIv2___RNAseq.g23773.t2,121,121,145,156,246,163,163,170,162
Pocillopora_acuta_HIv2___RNAseq.g15642.t1,4,4,4,1,0,0,4,5,6
Pocillopora_acuta_HIv2___RNAseq.g29441.t1,598,1105,973,1814,1139,1736,3727,2975,3117
Pocillopora_acuta_HIv2___RNAseq.g19996.t1,0,0,1,1,0,2,4,2,2
Pocillopora_acuta_HIv2___RNAseq.g20430.t1,105,117,207,233,232,344,697,709,640
Pocillopora_acuta_HIv2___RNAseq.g6276.t1,16,12,47,0,0,0,0,4,3
Pocillopora_acuta_HIv2___RNAseq.g1539.t1,138,92,164,63,93,107,137,129,109
Pocillopora_acuta_HIv2___RNAseq.g9730.t1,97,142,132,56,70,75,70,73,82
Pocillopora_acuta_HIv2___RNAseq.g2721.t1,253,461,429,166,152,208,225,186,197
Pocillopora_acuta_HIv2___RNAseq.g14475.t1,272,339,397,833,580,487,1091,843,898
Pocillopora_acuta_HIv2___RNAseq.g12418.t1,210,167,240,164,164,190,245,197,149
Pocillopora_acuta_HIv2___RNAseq.g27978.t1,410,602,972,1154,1032,1364,491,508,487
Pocillopora_acuta_HIv2___RNAseq.26588_t,23,57,33,0,0,16,72,114,111
Pocillopora_acuta_HIv2___RNAseq.g25680.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g13964.t1,480,616,697,355,350,425,1003,998,839
Pocillopora_acuta_HIv2___RNAseq.g29977.t1,181,271,442,1327,1150,1338,952,919,782
Pocillopora_acuta_HIv2___TS.g2680.t1,12,17,16,17,12,9,14,18,13
Pocillopora_acuta_HIv2___RNAseq.g2285.t1,0,0,0,0,1,0,71,17,31
Pocillopora_acuta_HIv2___TS.g16679.t1,2,5,5,4,4,5,4,5,5
Pocillopora_acuta_HIv2___RNAseq.g8874.t1,7,9,12,12,12,13,18,27,13
Pocillopora_acuta_HIv2___RNAseq.g1021.t1,439,552,712,312,267,385,576,560,556
Pocillopora_acuta_HIv2___RNAseq.g13661.t1,9,8,9,5,6,8,9,4,7
Pocillopora_acuta_HIv2___RNAseq.g19199.t1,185,188,224,266,172,126,334,332,307
Pocillopora_acuta_HIv2___TS.g28067.t1b,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g28067.t1c,0,7,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9732.t1,173,201,282,37,48,19,15,27,29
Pocillopora_acuta_HIv2___RNAseq.g5385.t1,13,8,19,18,16,65,599,458,433
Pocillopora_acuta_HIv2___RNAseq.g19769.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g2263.t1b,188,334,303,507,437,743,1038,958,1027
Pocillopora_acuta_HIv2___RNAseq.g10197.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g2263.t1a,0,0,0,0,0,0,6,21,10
Pocillopora_acuta_HIv2___RNAseq.g137.t1,11,27,60,0,0,0,6,0,19
Pocillopora_acuta_HIv2___RNAseq.g1023.t1,401,546,692,2220,2051,1509,990,991,955
Pocillopora_acuta_HIv2___RNAseq.g25848.t1,347,404,548,385,499,442,490,453,408
Pocillopora_acuta_HIv2___TS.g28706.t1,128,288,256,890,686,795,1462,1082,1119
Pocillopora_acuta_HIv2___RNAseq.g15968.t1,1158,1627,1682,1425,1494,1649,1536,1324,1357
Pocillopora_acuta_HIv2___RNAseq.g23350.t1,237,157,353,424,368,531,461,449,446
Pocillopora_acuta_HIv2___RNAseq.g19214.t1,7,12,18,0,13,5,13,32,22
Pocillopora_acuta_HIv2___TS.g18269.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11745.t1a,1235,1593,1744,1581,1920,1471,1256,1360,1032
Pocillopora_acuta_HIv2___TS.g13222.t1a,2,4,4,3,0,0,6,4,5
Pocillopora_acuta_HIv2___RNAseq.11590_t,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g23467.t1,2,2,0,2,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g16080.t1,45,73,58,176,137,277,302,293,197
Pocillopora_acuta_HIv2___RNAseq.g13966.t1,51,54,74,132,165,88,62,74,52
Pocillopora_acuta_HIv2___TS.g4301.t2,39,29,48,35,16,31,0,73,92
Pocillopora_acuta_HIv2___RNAseq.g21538.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g25682.t1,521,630,742,496,631,556,731,685,558
Pocillopora_acuta_HIv2___RNAseq.g9543.t1,446,450,567,316,279,451,94,204,208
Pocillopora_acuta_HIv2___RNAseq.g7035.t1,202,244,217,87,92,78,217,192,185
Pocillopora_acuta_HIv2___RNAseq.g8876.t1,0,0,6,0,11,26,0,0,27
Pocillopora_acuta_HIv2___RNAseq.g3768.t1,83,161,186,14,0,11,1575,1264,1523
