gene_id,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
Pocillopora_acuta_HIv2___RNAseq.g5065.t1,462,654,686,448,398,452,312,353,289
Pocillopora_acuta_HIv2___RNAseq.g20607.t1,313,479,620,195,153,257,828,767,638
Pocillopora_acuta_HIv2___RNAseq.g12599.t1,9,17,5,18,15,11,7,5,0
Pocillopora_acuta_HIv2___RNAseq.g29077.t1,16,52,31,0,0,12,21,26,22
Pocillopora_acuta_HIv2___RNAseq.g7364.t1,0,0,2,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28116.t1,927,1104,875,915,939,802,642,528,626
Pocillopora_acuta_HIv2___RNAseq.g6391.t1,48,48,110,58,32,47,61,83,57
Pocillopora_acuta_HIv2___RNAseq.g1819.t1,45,21,71,24,13,0,19,67,30
Pocillopora_acuta_HIv2___RNAseq.g14827.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22735.t1,22,31,36,6,0,0,11,8,6
Pocillopora_acuta_HIv2___RNAseq.g29278.t1,43,49,41,12,8,20,63,85,48
Pocillopora_acuta_HIv2___RNAseq.10518_t,303,489,571,188,207,300,313,260,299
Pocillopora_acuta_HIv2___RNAseq.g19519.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1409.t1a,8,21,22,11,0,5,25,28,27
Pocillopora_acuta_HIv2___RNAseq.g1409.t1b,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g23899.t1,487,726,438,251,295,237,123,119,95
Pocillopora_acuta_HIv2___RNAseq.g4772.t1,153,248,212,119,98,92,40,36,58
Pocillopora_acuta_HIv2___RNAseq.g30834.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g13698.t1,42,33,56,34,38,34,43,36,35
Pocillopora_acuta_HIv2___RNAseq.g438.t1,2434,3160,4035,1587,1427,1202,874,917,836
Pocillopora_acuta_HIv2___RNAseq.g12788.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g5325.t1,143,168,242,120,111,180,286,264,259
Pocillopora_acuta_HIv2___RNAseq.g19863.t1,0,0,3,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.12371_t,352,488,581,172,198,319,897,1008,951
Pocillopora_acuta_HIv2___RNAseq.g8913.t1,134,175,179,387,272,421,103,107,136
Pocillopora_acuta_HIv2___RNAseq.g9165.t1,0,0,0,0,0,0,0,0,10
Pocillopora_acuta_HIv2___RNAseq.g7366.t1,25,38,39,11,4,12,21,25,27
Pocillopora_acuta_HIv2___RNAseq.g7015.t1,504,562,591,561,521,585,530,518,510
Pocillopora_acuta_HIv2___RNAseq.g29557.t1,43,48,25,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g25171.t1,629,953,974,1761,1432,1405,1402,1199,1294
Pocillopora_acuta_HIv2___RNAseq.g15631.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g25815.t3,1046,1489,1749,2237,2216,2494,3364,3127,2919
Pocillopora_acuta_HIv2___RNAseq.g4711.t1,260,357,418,788,790,564,323,322,302
Pocillopora_acuta_HIv2___RNAseq.g19846.t1,0,0,4,0,0,5,0,0,10
Pocillopora_acuta_HIv2___RNAseq.g7070.t1,41,8,15,18,0,14,20,16,20
Pocillopora_acuta_HIv2___RNAseq.g15255.t1,183,191,257,79,86,134,149,92,112
Pocillopora_acuta_HIv2___RNAseq.g23927.t1,74,82,102,26,27,46,86,81,120
Pocillopora_acuta_HIv2___RNAseq.g7217.t1,0,6,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10887.t1,67,82,56,6,0,20,50,35,60
Pocillopora_acuta_HIv2___RNAseq.g557.t1,419,576,677,223,192,252,469,435,415
Pocillopora_acuta_HIv2___RNAseq.g22737.t1,21,22,24,3,1,3,4,2,2
Pocillopora_acuta_HIv2___RNAseq.g17690.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g16060.t1,10,19,18,9,0,0,47,53,26
Pocillopora_acuta_HIv2___RNAseq.g19437.t1,0,4,0,0,0,2,6,3,10
Pocillopora_acuta_HIv2___RNAseq.g4770.t1,4114,5957,6573,1656,1512,1464,1451,1345,1505
Pocillopora_acuta_HIv2___RNAseq.g30836.t1,0,0,0,0,0,0,0,0,4
Pocillopora_acuta_HIv2___RNAseq.g3607.t1,350,565,592,256,268,638,5920,6960,8376
Pocillopora_acuta_HIv2___TS.g1166.t1,15,34,47,36,11,58,118,105,143
Pocillopora_acuta_HIv2___RNAseq.g23925.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g26501.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g19861.t1,501,726,862,910,987,849,798,832,617
Pocillopora_acuta_HIv2___RNAseq.g18020.t1,10,7,19,0,0,0,0,10,8
Pocillopora_acuta_HIv2___TS.g28074.t1,15,0,22,8,0,0,0,8,0
Pocillopora_acuta_HIv2___RNAseq.g8911.t1,26,83,62,34,66,74,78,81,83
Pocillopora_acuta_HIv2___RNAseq.g10537.t1,189,250,309,98,56,135,150,186,164
Pocillopora_acuta_HIv2___TS.g21355.t1,9,9,20,0,0,8,10,0,0
Pocillopora_acuta_HIv2___RNAseq.g17108.t1,0,0,0,0,24,0,90,97,92
Pocillopora_acuta_HIv2___RNAseq.g20885.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27646.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6388.t1,0,5,6,0,0,0,9,4,5
Pocillopora_acuta_HIv2___RNAseq.g27786.t1,74,93,102,41,36,69,114,93,134
Pocillopora_acuta_HIv2___RNAseq.g20235.t1,54,50,61,31,38,38,5,8,15
Pocillopora_acuta_HIv2___RNAseq.g15804.t1,273,339,432,252,265,329,214,208,245
Pocillopora_acuta_HIv2___RNAseq.g1078.t1,750,1241,1277,322,310,574,1017,907,867
Pocillopora_acuta_HIv2___RNAseq.g22972.t1,23,33,35,5,3,3,23,13,30
Pocillopora_acuta_HIv2___RNAseq.g7072.t1,402,563,444,574,947,568,232,129,123
Pocillopora_acuta_HIv2___RNAseq.g15257.t1,25,190,55,0,5,0,58,78,79
Pocillopora_acuta_HIv2___RNAseq.g25817.t1,32,29,36,7,16,10,58,69,59
Pocillopora_acuta_HIv2___RNAseq.g13155.t1,898,1231,1489,1892,840,1532,2047,1932,1876
Pocillopora_acuta_HIv2___RNAseq.g28780.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11424.t1,0,0,0,0,0,0,6,0,14
Pocillopora_acuta_HIv2___RNAseq.g25362.t1,0,0,0,18,16,11,0,8,8
Pocillopora_acuta_HIv2___TS.g19030.t1,0,1,1,1,0,1,0,0,1
Pocillopora_acuta_HIv2___RNAseq.g11092.t1,76,95,113,11,18,51,68,61,81
Pocillopora_acuta_HIv2___TS.g11024.t1,56,83,37,17,14,23,22,20,28
Pocillopora_acuta_HIv2___RNAseq.g27623.t1,0,0,0,0,0,0,0,6,3
Pocillopora_acuta_HIv2___RNAseq.g23092.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g22283.t1,707,1015,1090,220,303,357,776,836,751
Pocillopora_acuta_HIv2___TS.g26503.t1,0,0,0,1,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1339.t1,4,0,5,3,0,0,2,3,4
Pocillopora_acuta_HIv2___RNAseq.g31390.t1,8,8,7,18,11,31,22,36,22
Pocillopora_acuta_HIv2___RNAseq.g23372.t1,0,0,0,0,0,0,0,3,0
Pocillopora_acuta_HIv2___RNAseq.g18022.t1,22,21,23,26,5,27,28,31,68
Pocillopora_acuta_HIv2___RNAseq.g18887.t1,0,15,44,0,0,5,0,7,14
Pocillopora_acuta_HIv2___RNAseq.g20108.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3958.t1,2,0,4,0,0,0,0,6,0
Pocillopora_acuta_HIv2___RNAseq.g8517.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4791.t1,16,26,51,0,0,0,16,14,22
Pocillopora_acuta_HIv2___RNAseq.g10956.t1,0,7,7,46,34,61,110,114,118
Pocillopora_acuta_HIv2___RNAseq.g10491.t1,36,40,76,25,12,41,27,16,35
Pocillopora_acuta_HIv2___RNAseq.g6347.t1,18,22,13,0,0,7,23,18,24
Pocillopora_acuta_HIv2___RNAseq.g11049.t1,13,19,14,6,7,23,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27644.t1,0,0,3,1,1,0,0,1,1
Pocillopora_acuta_HIv2___TS.g3986.t1,743,952,1061,549,498,646,1554,1499,1499
Pocillopora_acuta_HIv2___RNAseq.g24699.t1,107,120,152,155,130,109,123,71,91
Pocillopora_acuta_HIv2___RNAseq.g18830.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3273.t1,12,31,7,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g16435.t1,477,626,679,701,882,739,714,673,649
Pocillopora_acuta_HIv2___RNAseq.g21252.t1,236,283,320,444,384,293,534,504,419
Pocillopora_acuta_HIv2___RNAseq.g8515.t1,24,26,29,10,14,11,12,10,12
Pocillopora_acuta_HIv2___RNAseq.g30234.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g30279.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11973.t1,3,3,5,1,0,0,6,8,5
Pocillopora_acuta_HIv2___RNAseq.g23090.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6899.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g12010.t1,11,3,8,141,109,161,2,2,3
Pocillopora_acuta_HIv2___RNAseq.g28471.t1,14,31,33,58,62,92,25,22,28
Pocillopora_acuta_HIv2___RNAseq.g6290.t1,185,249,323,14,58,13,123,151,115
Pocillopora_acuta_HIv2___RNAseq.g6215.t1,41,56,74,37,25,60,42,78,42
Pocillopora_acuta_HIv2___RNAseq.g29686.t2,1901,2014,2864,6887,5510,7860,2326,2409,2399
Pocillopora_acuta_HIv2___RNAseq.g12504.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g3390.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g15844.t1,108,174,213,30,35,51,189,171,200
Pocillopora_acuta_HIv2___RNAseq.g8452.t1,4,3,5,0,0,0,0,2,3
Pocillopora_acuta_HIv2___RNAseq.g10493.t1,12,18,30,5,5,12,4,5,8
Pocillopora_acuta_HIv2___RNAseq.g27542.t1,87,94,98,93,156,91,117,101,83
Pocillopora_acuta_HIv2___RNAseq.g16192.t1a,0,5,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g2968.t1,16,0,11,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g16192.t1b,100,122,186,104,79,68,127,158,155
Pocillopora_acuta_HIv2___RNAseq.g11012.t1,0,13,19,33,20,19,47,35,49
Pocillopora_acuta_HIv2___RNAseq.g12506.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g17851.t1,661,718,825,231,478,45,185,69,146
Pocillopora_acuta_HIv2___RNAseq.g16054.t1,623,1005,536,165,204,223,1710,1640,2118
Pocillopora_acuta_HIv2___TS.g30828.t1,346,583,455,1410,624,860,34,15,37
Pocillopora_acuta_HIv2___RNAseq.g17641.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g20011.t1,0,17,11,4,0,5,15,6,5
